percent_race_one_race_asian,percent_race_one_race_black_or_african_american,percent_race_one_race_native_hawaiian_and_other_pacific_islander,geographic_area_name,percent_race_one_race_white,Year,percent_hispanic_or_latino
0.0,2.2,0.0,"San Germ?n, PR",95.2,2010,99.3
31.2,2.6,0.4,"San Jose, CA",51.0,2010,27.9
0.5,9.2,0.0,"San Juan, PR",63.9,2010,98.9
3.2,2.5,0.0,"San Luis Obispo, CA",82.4,2010,20.8
5.1,1.9,0.0,"Santa Barbara, CA",77.9,2010,43.0
4.7,0.8,0.1,"Santa Cruz, CA",79.7,2010,32.2
0.9,0.6,0.0,"Santa Fe, NM",84.0,2010,50.8
4.1,1.7,0.4,"Santa Rosa, CA",83.1,2010,25.0
2.2,34.0,0.0,"Savannah, GA",60.4,2010,5.0
1.1,3.0,0.1,"Scranton, PA",93.1,2010,5.8
0.8,12.6,0.0,"Seaford, DE",81.3,2010,8.7
0.3,4.7,0.0,"Searcy, AR",91.2,2010,3.8
11.5,5.5,0.8,"Seattle, WA",73.3,2010,9.0
1.2,8.8,0.0,"Sebastian, FL",88.0,2010,11.3
0.9,10.1,0.0,"Sebring, FL",84.8,2010,17.4
N,N,N,"Seneca, SC",N,2010,4.5
N,N,N,"Sevierville, TN",N,2010,5.3
0.2,3.0,0.0,"Shawnee, OK",76.6,2010,4.2
4.3,1.9,0.0,"Sheboygan, WI",91.5,2010,5.5
0.9,21.0,0.0,"Shelby, NC",76.7,2010,2.8
0.6,4.9,0.0,"Sherman, TX",83.3,2010,11.4
0.3,0.4,0.5,"Show Low, AZ",51.3,2010,10.9
1.1,38.4,0.3,"Shreveport, LA",56.9,2010,3.6
1.7,4.1,0.3,"Sierra Vista, AZ",83.0,2010,32.5
2.0,3.2,0.0,"Sioux City, IA",84.9,2010,15.4
1.6,3.0,0.0,"Sioux Falls, SD",90.7,2010,3.4
0.1,1.8,0.0,"Somerset, PA",96.1,2010,1.0
1.7,11.7,0.0,"South Bend, IN",82.2,2010,6.6
0.7,13.9,0.0,"Southern Pines, NC",82.5,2010,6.0
2.1,20.2,0.0,"Spartanburg, SC",74.0,2010,5.9
2.5,2.1,0.1,"Spokane, WA",89.2,2010,4.5
1.6,11.5,0.0,"Springfield, IL",84.3,2010,1.7
2.5,6.5,0.0,"Springfield, MA",82.2,2010,15.4
1.0,2.2,0.0,"Springfield, MO",93.5,2010,2.7
0.8,9.3,0.0,"Springfield, OH",85.7,2010,2.8
5.1,2.7,0.0,"State College, PA",89.3,2010,2.4
1.7,27.1,0.0,"Statesboro, GA",65.6,2010,3.5
2.1,12.0,0.0,"Statesville, NC",82.1,2010,6.8
0.5,7.9,0.0,"Staunton, VA",89.1,2010,3.3
N,N,N,"Steubenville, OH",N,2010,0.4
N,N,N,"Stevens Point, WI",N,2010,2.7
3.0,3.1,0.0,"Stillwater, OK",82.5,2010,3.9
14.2,7.0,0.5,"Stockton, CA",61.3,2010,39.0
1.2,47.9,0.0,"Sumter, SC",49.1,2010,3.4
0.6,0.9,0.0,"Sunbury, PA",95.9,2010,2.4
2.4,7.9,0.0,"Syracuse, NY",85.7,2010,3.5
N,N,N,"Talladega, AL",N,2010,2.1
2.3,32.6,0.0,"Tallahassee, FL",61.8,2010,5.9
3.0,11.8,0.1,"Tampa, FL",80.3,2010,16.3
1.1,5.1,0.0,"Terre Haute, IN",91.8,2010,2.0
0.4,27.0,0.3,"Texarkana, TX",69.2,2010,2.8
0.4,10.3,0.1,"The Villages, FL",87.6,2010,6.0
1.5,9.2,0.0,"Thomasville, NC",85.9,2010,6.4
1.5,13.5,0.1,"Toledo, OH",80.8,2010,5.8
1.2,6.4,0.0,"Topeka, KS",83.0,2010,8.8
1.8,1.3,0.0,"Torrington, CT",93.9,2010,4.5
0.4,0.9,0.0,"Traverse City, MI",95.1,2010,2.5
8.8,20.7,0.0,"Trenton, NJ",62.5,2010,15.2
1.5,0.3,0.5,"Truckee, CA",93.5,2010,8.7
2.7,3.4,0.1,"Tucson, AZ",80.8,2010,34.7
0.9,3.1,0.0,"Tullahoma, TN",90.9,2010,3.1
1.7,8.3,0.0,"Tulsa, OK",73.0,2010,8.4
N,N,N,"Tupelo, MS",N,2010,1.8
0.8,34.1,0.0,"Tuscaloosa, AL",63.0,2010,2.7
0.2,0.9,0.0,"Twin Falls, ID",89.0,2010,18.5
1.0,17.9,0.5,"Tyler, TX",76.4,2010,17.3
1.9,1.3,0.4,"Ukiah, CA",81.2,2010,22.3
2.5,4.0,0.1,"Utica, NY",89.0,2010,4.0
1.4,35.6,0.0,"Valdosta, GA",58.9,2010,4.5
14.7,15.1,0.9,"Vallejo, CA",52.7,2010,24.1
2.0,4.8,0.0,"Victoria, TX",83.0,2010,43.4
1.3,20.4,0.0,"Vineland, NJ",61.8,2010,27.2
3.6,31.3,0.2,"Virginia Beach, VA",60.3,2010,5.3
3.1,1.6,0.0,"Visalia, CA",79.3,2010,60.7
1.4,15.1,0.0,"Waco, TX",79.1,2010,23.8
2.0,28.7,0.0,"Warner Robins, GA",62.8,2010,6.1
1.0,1.0,0.0,"Warsaw, IN",92.0,2010,7.4
9.2,25.8,0.1,"Washington, DC",55.8,2010,13.8
1.2,7.6,0.0,"Waterloo, IA",88.5,2010,3.2
1.0,0.7,0.0,"Watertown, WI",95.4,2010,6.6
1.7,4.5,0.8,"Watertown, NY",87.5,2010,5.3
5.2,0.1,0.0,"Wausau, WI",91.7,2010,2.3
1.0,0.1,0.2,"Wenatchee, WA",85.4,2010,26.9
N,N,N,"Wheeling, WV",N,2010,0.7
0.6,1.1,0.0,"Whitewater, WI",94.7,2010,10.3
3.6,7.5,0.0,"Wichita, KS",80.8,2010,11.7
2.0,9.5,0.0,"Wichita Falls, TX",84.7,2010,15.1
0.4,4.6,0.1,"Williamsport, PA",92.8,2010,1.4
1.1,1.8,0.1,"Willimantic, CT",92.6,2010,9.7
1.1,14.0,0.0,"Wilmington, NC",81.2,2010,5.4
0.5,39.6,0.0,"Wilson, NC",50.7,2010,9.5
1.4,4.7,0.1,"Winchester, VA",91.8,2010,8.8
1.7,20.8,0.0,"Winston, NC",71.3,2010,10.3
1.3,1.3,0.0,"Wooster, OH",96.0,2010,1.6
3.9,3.9,0.0,"Worcester, MA",87.3,2010,9.5
0.6,0.5,0.0,"Yakima, WA",73.9,2010,45.1
0.0,2.1,0.0,"Yauco, PR",88.2,2010,99.4
1.3,4.7,0.0,"York, PA",88.4,2010,5.6
0.6,11.2,0.0,"Youngstown, OH",86.2,2010,2.7
11.2,1.9,0.2,"Yuba City, CA",67.1,2010,27.3
1.1,2.0,0.1,"Yuma, AZ",75.5,2010,59.8
N,N,N,"Zanesville, OH",N,2010,0.8
4.8,12.6,0.2,,74.2,2010,16.4
0.2,4.3,0.0,"Sunbury, PA",93.6,2011,2.5
2.4,7.9,0.0,"Syracuse, NY",85.6,2011,3.6
N,N,N,"Talladega, AL",N,2011,1.1
2.3,32.4,0.0,"Tallahassee, FL",60.7,2011,6.1
2.9,12.1,0.1,"Tampa, FL",79.6,2011,16.6
1.1,5.3,0.0,"Terre Haute, IN",90.8,2011,2.0
0.7,24.2,0.2,"Texarkana, TX",70.9,2011,5.8
0.3,9.7,0.1,"The Villages, FL",87.2,2011,6.0
1.2,10.0,0.0,"Thomasville, NC",86.8,2011,6.5
1.2,13.1,0.0,"Toledo, OH",79.9,2011,5.8
1.0,7.1,0.0,"Topeka, KS",85.0,2011,9.0
1.4,0.9,0.0,"Torrington, CT",94.6,2011,4.8
0.5,1.5,0.0,"Traverse City, MI",95.0,2011,2.3
9.0,20.2,0.0,"Trenton, NJ",61.4,2011,15.5
1.6,0.4,0.1,"Truckee, CA",91.6,2011,8.9
2.7,3.8,0.2,"Tucson, AZ",79.9,2011,35.1
N,N,N,"Tullahoma, TN",N,2011,2.3
1.8,8.3,0.1,"Tulsa, OK",72.8,2011,8.7
N,N,N,"Tupelo, MS",N,2011,2.8
1.3,34.3,0.0,"Tuscaloosa, AL",63.6,2011,2.8
1.2,0.3,0.0,"Twin Falls, ID",92.9,2011,19.4
1.4,18.2,0.1,"Tyler, TX",75.9,2011,17.9
1.8,0.8,0.0,"Ukiah, CA",81.3,2011,22.9
2.5,4.6,0.0,"Utica, NY",88.6,2011,4.1
1.2,34.2,0.1,"Valdosta, GA",59.8,2011,5.5
14.8,14.0,0.8,"Vallejo, CA",53.7,2011,24.6
1.9,4.4,0.0,"Victoria, TX",83.1,2011,44.8
1.5,21.3,0.0,"Vineland, NJ",63.2,2011,27.6
3.7,31.0,0.1,"Virginia Beach, VA",60.3,2011,5.7
3.7,2.0,0.0,"Visalia, CA",80.2,2011,61.3
1.4,14.7,0.0,"Waco, TX",79.9,2011,24.2
2.9,29.0,0.0,"Warner Robins, GA",61.4,2011,6.2
1.2,0.7,0.0,"Warsaw, IN",91.7,2011,7.5
9.4,25.8,0.0,"Washington, DC",56.0,2011,14.1
1.3,7.9,0.0,"Waterloo, IA",88.2,2011,3.3
0.6,0.9,0.0,"Watertown, WI",95.5,2011,6.9
1.6,5.2,0.2,"Watertown, NY",87.0,2011,6.1
4.9,0.3,0.0,"Wausau, WI",91.9,2011,2.3
0.7,0.7,0.1,"Wenatchee, WA",83.1,2011,27.4
0.2,2.9,0.0,"Wheeling, WV",94.6,2011,1.1
N,N,N,"Whitewater, WI",N,2011,10.5
3.1,7.0,0.1,"Wichita, KS",81.4,2011,11.9
1.8,9.2,0.0,"Wichita Falls, TX",83.3,2011,16.1
0.7,5.2,0.0,"Williamsport, PA",92.4,2011,1.5
1.2,2.3,0.0,"Willimantic, CT",91.4,2011,9.9
0.6,14.8,0.0,"Wilmington, NC",81.1,2011,5.5
0.3,38.7,0.0,"Wilson, NC",52.1,2011,9.7
1.2,5.3,0.0,"Winchester, VA",89.8,2011,6.0
1.4,20.5,0.0,"Winston, NC",74.1,2011,10.6
0.6,1.9,0.0,"Wooster, OH",96.0,2011,1.6
4.1,4.1,0.0,"Worcester, MA",85.4,2011,9.6
1.3,0.6,0.1,"Yakima, WA",76.9,2011,45.8
0.1,3.5,0.0,"Yauco, PR",90.3,2011,99.0
1.4,6.0,0.0,"York, PA",87.8,2011,5.8
0.7,10.9,0.0,"Youngstown, OH",85.8,2011,2.8
10.7,3.0,0.3,"Yuba City, CA",67.6,2011,27.9
1.3,2.0,0.0,"Yuma, AZ",75.6,2011,60.1
0.2,4.0,0.0,"Zanesville, OH",92.7,2011,0.4
1.0,0.9,0.5,"Aberdeen, WA",85.3,2011,8.9
1.6,8.6,0.0,"Abilene, TX",84.1,2011,22.0
0.5,2.6,0.0,"Adrian, MI",91.4,2011,7.6
0.0,2.0,0.0,"Aguadilla, PR",84.6,2011,97.3
2.1,11.7,0.0,"Akron, OH",83.2,2011,1.6
1.1,3.6,0.1,"Alamogordo, NM",74.5,2011,34.9
0.8,53.3,0.0,"Albany, GA",44.3,2011,1.9
0.9,0.4,0.0,"Albany, OR",92.1,2011,8.0
3.3,7.6,0.0,"Albany, NY",84.8,2011,4.4
0.5,2.2,0.0,"Albertville, AL",92.0,2011,12.5
1.7,2.9,0.1,"Albuquerque, NM",68.4,2011,47.0
1.1,29.5,0.1,"Alexandria, LA",66.5,2011,3.2
0.8,1.5,0.0,"Allegan, MI",94.5,2011,6.8
2.5,4.9,0.0,"Allentown, PA",86.3,2011,13.5
0.7,1.7,0.0,"Altoona, PA",96.3,2011,1.0
2.6,5.9,0.1,"Amarillo, TX",84.3,2011,26.3
6.6,3.1,0.0,"Ames, IA",89.0,2011,3.1
6.5,4.3,1.6,"Anchorage, AK",70.8,2011,6.9
0.2,6.3,0.0,"Anderson, IN",88.6,2011,3.4
0.9,15.9,0.0,"Anderson, SC",80.9,2011,3.1
7.7,11.9,0.0,"Ann Arbor, MI",74.7,2011,4.2
0.1,21.6,0.0,"Anniston, AL",75.0,2011,3.4
2.9,0.8,0.0,"Appleton, WI",92.9,2011,3.7
1.0,5.0,0.0,"Asheville, NC",91.0,2011,6.5
0.6,4.5,0.0,"Ashtabula, OH",93.5,2011,3.5
0.4,6.0,0.1,"Athens, TX",88.8,2011,11.5
3.5,18.9,0.0,"Athens, GA",74.0,2011,8.0
4.9,32.6,0.1,"Atlanta, GA",56.5,2011,10.6
7.8,16.2,0.0,"Atlantic City, NJ",65.3,2011,17.3
0.2,4.5,0.0,"Auburn, NY",92.5,2011,2.5
2.8,23.6,0.0,"Auburn, AL",70.6,2011,3.4
1.9,36.6,0.1,"Augusta, GA",58.0,2011,4.7
0.3,0.5,0.0,"Augusta, ME",96.1,2011,1.3
4.8,7.4,0.0,"Austin, TX",75.6,2011,31.8
4.3,5.9,0.1,"Bakersfield, CA",75.5,2011,50.0
4.6,28.8,0.1,"Baltimore, MD",62.2,2011,4.7
0.8,0.8,0.0,"Bangor, ME",95.3,2011,1.1
1.3,2.4,0.0,"Barnstable Town, MA",93.6,2011,2.3
1.9,35.0,0.1,"Baton Rouge, LA",60.9,2011,3.6
1.6,11.3,0.0,"Battle Creek, MI",83.6,2011,4.6
0.5,1.4,0.0,"Bay City, MI",94.2,2011,4.7
2.6,24.7,0.0,"Beaumont, TX",66.7,2011,13.4
0.4,2.3,0.0,"Beaver Dam, WI",94.5,2011,4.0
1.1,8.8,0.0,"Beckley, WV",88.0,2011,1.3
4.4,1.1,0.0,"Bellingham, WA",87.4,2011,8.2
1.6,0.3,0.3,"Bend, OR",91.1,2011,7.7
0.4,0.2,0.3,"Billings, MT",90.6,2011,4.7
3.2,3.9,0.0,"Binghamton, NY",90.3,2011,2.9
1.4,28.5,0.0,"Birmingham, AL",67.0,2011,4.5
0.4,0.4,0.0,"Bismarck, ND",92.8,2011,1.3
3.2,4.7,0.0,"Blacksburg, VA",89.3,2011,2.1
4.2,1.8,0.0,"Bloomington, IN",90.3,2011,2.3
4.0,7.6,0.0,"Bloomington, IL",84.9,2011,4.6
1.2,2.0,0.0,"Bloomsburg, PA",95.0,2011,2.8
0.5,4.2,0.0,"Bluefield, WV",93.3,2011,1.0
2.0,0.7,0.1,"Boise City, ID",91.6,2011,12.9
6.7,7.6,0.0,"Boston, MA",78.7,2011,9.3
3.9,0.9,0.0,"Boulder, CO",89.2,2011,13.7
2.1,8.6,0.1,"Bowling Green, KY",83.8,2011,4.5
1.0,0.4,0.0,"Bozeman, MT",95.0,2011,2.6
0.4,0.6,0.0,"Brainerd, MN",93.4,2011,1.2
N,N,N,"Branson, MO",N,2011,3.9
5.0,2.8,0.8,"Bremerton, WA",81.0,2011,6.6
4.9,11.0,0.0,"Bridgeport, CT",74.6,2011,17.4
0.6,0.4,0.0,"Brownsville, TX",90.5,2011,88.1
1.0,23.5,0.0,"Brunswick, GA",71.5,2011,4.9
2.4,11.9,0.0,"Buffalo, NY",81.4,2011,4.3
0.4,18.8,0.0,"Burlington, NC",69.9,2011,11.4
2.1,1.3,0.0,"Burlington, VT",93.2,2011,1.7
0.8,6.7,0.0,"Canton, OH",89.6,2011,1.6
1.5,7.9,0.0,"Cape Coral, FL",83.8,2011,18.6
1.3,7.7,0.0,"Cape Girardeau, MO",88.3,2011,1.9
4.1,0.8,0.0,"Carson City, NV",83.1,2011,22.0
0.9,1.2,0.0,"Casper, WY",92.0,2011,7.1
1.4,3.3,0.0,"Cedar Rapids, IA",91.5,2011,2.3
0.9,0.6,0.0,"Centralia, WA",92.1,2011,8.9
1.1,3.6,0.0,"Chambersburg, PA",93.0,2011,4.5
8.3,11.3,0.0,"Champaign, IL",77.6,2011,4.9
0.6,2.1,0.0,"Charleston, WV",92.5,2011,0.9
1.4,3.1,0.0,"Charleston, IL",93.1,2011,1.9
1.6,27.6,0.1,"Charleston, SC",67.2,2011,5.4
3.2,24.0,0.1,"Charlotte, NC",67.0,2011,10.0
3.9,13.3,0.0,"Charlottesville, VA",80.8,2011,4.0
1.4,14.0,0.0,"Chattanooga, TN",81.1,2011,3.6
1.1,2.9,0.0,"Cheyenne, WY",88.1,2011,13.3
5.7,17.1,0.0,"Chicago, IL",66.5,2011,21.1
4.5,1.4,0.1,"Chico, CA",83.2,2011,14.7
N,N,N,"Chillicothe, OH",N,2011,0.8
1.9,12.2,0.0,"Cincinnati, OH",83.2,2011,2.7
N,N,N,"Clarksburg, WV",N,2011,1.1
1.5,17.5,0.2,"Clarksville, TN",74.6,2011,6.9
1.5,1.5,0.4,"Clearlake, CA",81.8,2011,17.7
0.4,3.3,0.0,"Cleveland, TN",92.7,2011,4.6
2.0,19.7,0.0,"Cleveland, OH",74.8,2011,4.8
0.0,5.2,0.0,"Coamo, PR",59.4,2011,99.9
1.0,0.1,0.1,"Coeur d'Alene, ID",95.4,2011,4.0
4.7,11.2,0.0,"College Station, TX",75.9,2011,23.0
2.7,5.8,0.4,"Colorado Springs, CO",82.3,2011,15.1
3.8,9.3,0.0,"Columbia, MO",82.8,2011,3.1
1.7,33.2,0.0,"Columbia, SC",60.9,2011,5.1
0.4,12.5,0.0,"Columbia, TN",84.2,2011,5.0
1.7,39.9,0.3,"Columbus, GA",52.3,2011,6.2
3.6,2.0,0.0,"Columbus, IN",88.8,2011,6.3
3.1,14.6,0.0,"Columbus, OH",77.7,2011,3.8
1.8,1.0,0.0,"Concord, NH",95.1,2011,1.7
0.5,2.6,0.0,"Cookeville, TN",93.8,2011,5.1
1.2,0.1,0.1,"Coos Bay, OR",91.1,2011,6.8
1.5,1.9,0.0,"Corning, NY",94.8,2011,1.5
1.5,3.7,0.1,"Corpus Christi, TX",87.8,2011,58.3
7.1,0.3,0.4,"Corvallis, OR",87.7,2011,6.7
3.0,7.6,0.1,"Crestview, FL",80.6,2011,7.2
0.4,1.2,0.0,"Cullman, AL",94.9,2011,4.5
0.8,6.2,0.0,"Cumberland, MD",90.4,2011,1.1
5.4,14.8,0.1,"Dallas, TX",69.4,2011,28.1
0.2,4.3,0.0,"Dalton, GA",87.3,2011,27.1
0.8,13.6,0.0,"Danville, IL",82.9,2011,4.4
0.6,32.3,0.0,"Danville, VA",64.3,2011,2.7
0.8,9.9,0.0,"Daphne, AL",86.9,2011,4.5
1.8,7.1,0.0,"Davenport, IA",86.4,2011,7.9
2.0,14.9,0.0,"Dayton, OH",79.9,2011,2.2
0.2,12.4,0.2,"Decatur, AL",81.8,2011,6.5
1.3,17.0,0.1,"Decatur, IL",79.3,2011,2.0
1.8,10.4,0.0,"Deltona, FL",80.3,2011,11.5
3.7,5.5,0.1,"Denver, CO",81.4,2011,22.7
3.3,4.7,0.0,"Des Moines, IA",87.8,2011,6.9
3.4,22.6,0.0,"Detroit, MI",70.4,2011,4.0
0.5,22.4,0.0,"Dothan, AL",72.6,2011,3.1
2.2,23.7,0.0,"Dover, DE",67.7,2011,6.0
0.5,2.2,0.0,"DuBois, PA",95.4,2011,2.5
1.3,1.3,0.1,"Dubuque, IA",94.5,2011,2.0
0.9,1.4,0.0,"Duluth, MN",92.7,2011,1.3
1.1,19.9,0.0,"Dunn, NC",71.5,2011,11.2
4.4,26.9,0.0,"Durham, NC",62.9,2011,11.3
0.4,2.7,0.0,"East Liverpool, OH",95.7,2011,1.3
2.0,13.3,0.0,"East Stroudsburg, PA",79.3,2011,13.5
2.5,0.7,0.0,"Eau Claire, WI",93.4,2011,1.1
1.5,3.4,0.1,"El Centro, CA",66.6,2011,80.6
2.1,11.5,0.2,"Elizabethtown, KY",81.9,2011,4.8
1.1,6.1,0.0,"Elkhart, IN",84.0,2011,14.5
1.6,6.7,0.0,"Elmira, NY",89.6,2011,2.7
1.1,3.3,0.2,"El Paso, TX",79.9,2011,81.4
1.3,19.0,0.0,"Enterprise, AL",75.4,2011,6.0
1.2,7.1,0.0,"Erie, PA",88.3,2011,3.5
2.4,0.9,0.2,"Eugene, OR",89.0,2011,7.6
1.7,1.2,0.6,"Eureka, CA",83.2,2011,10.2
0.9,6.0,0.0,"Evansville, IN",90.2,2011,2.1
2.5,4.6,0.3,"Fairbanks, AK",76.3,2011,6.3
1.1,8.2,0.0,"Fajardo, PR",58.0,2011,98.2
2.2,2.0,0.0,"Fargo, ND",92.4,2011,2.5
0.4,6.3,0.0,"Farmington, MO",91.0,2011,1.7
0.4,0.9,0.1,"Farmington, NM",52.7,2011,19.6
2.4,36.0,0.3,"Fayetteville, NC",52.9,2011,10.2
2.5,2.0,1.2,"Fayetteville, AR",84.3,2011,15.2
1.6,1.5,0.1,"Findlay, OH",94.3,2011,4.6
1.4,1.4,0.0,"Flagstaff, AZ",62.0,2011,13.9
0.9,20.6,0.0,"Flint, MI",74.6,2011,3.1
0.7,40.6,0.0,"Florence, SC",56.3,2011,2.2
0.5,12.9,0.0,"Florence, AL",84.2,2011,2.3
1.4,1.5,0.1,"Fond du Lac, WI",93.5,2011,4.5
0.6,10.5,0.0,"Forest City, NC",85.7,2011,3.7
2.3,0.8,0.0,"Fort Collins, CO",90.6,2011,10.8
0.1,2.1,0.0,"Fort Payne, AL",90.4,2011,14.0
2.2,3.4,0.1,"Fort Smith, AR",81.9,2011,8.6
2.4,10.3,0.0,"Fort Wayne, IN",82.7,2011,5.9
1.1,10.1,0.0,"Frankfort, KY",86.4,2011,0.6
9.6,4.9,0.2,"Fresno, CA",55.3,2011,50.9
0.8,15.7,0.2,"Gadsden, AL",80.9,2011,3.5
5.0,19.7,0.1,"Gainesville, FL",71.1,2011,9.1
1.7,8.3,0.1,"Gainesville, GA",85.6,2011,26.8
0.2,6.6,0.1,"Galesburg, IL",89.7,2011,5.9
1.1,0.7,0.0,"Gallup, NM",16.1,2011,14.6
0.8,1.7,0.0,"Gettysburg, PA",92.2,2011,6.2
0.5,2.3,0.0,"Glens Falls, NY",95.2,2011,2.2
0.6,31.7,0.0,"Goldsboro, NC",56.1,2011,10.1
1.5,1.6,0.0,"Grand Forks, ND",91.3,2011,4.0
0.6,2.2,0.0,"Grand Island, NE",94.1,2011,20.1
0.7,0.7,0.0,"Grand Junction, CO",89.6,2011,13.6
1.8,7.9,0.0,"Grand Rapids, MI",84.6,2011,8.6
0.5,0.5,0.2,"Grants Pass, OR",93.6,2011,6.5
0.8,0.7,0.0,"Great Falls, MT",88.4,2011,3.6
1.5,1.1,0.1,"Greeley, CO",91.1,2011,28.5
2.3,2.3,0.0,"Green Bay, WI",90.2,2011,6.3
N,N,N,"Greeneville, TN",N,2011,3.0
3.0,25.5,0.0,"Greensboro, NC",66.1,2011,7.8
1.6,34.7,0.0,"Greenville, NC",56.5,2011,6.9
1.8,17.0,0.0,"Greenville, SC",77.7,2011,7.0
N,N,N,"Greenwood, SC",N,2011,2.3
0.0,19.5,0.0,"Guayama, PR",51.6,2011,99.6
2.6,19.8,0.0,"Gulfport, MS",74.6,2011,4.9
1.3,8.6,0.0,"Hagerstown, MD",86.7,2011,3.6
0.1,30.9,0.0,"Hammond, LA",66.9,2011,3.6
3.7,5.9,0.8,"Hanford, CA",74.4,2011,51.4
2.7,9.8,0.0,"Harrisburg, PA",82.4,2011,4.9
2.4,5.5,0.1,"Harrisonburg, VA",89.4,2011,7.7
4.1,10.9,0.0,"Hartford, CT",77.3,2011,12.9
3.0,26.3,0.0,"Hattiesburg, MS",68.3,2011,3.3
0.3,0.6,0.0,"Helena, MT",94.2,2011,2.4
2.3,6.8,0.1,"Hickory, NC",85.6,2011,6.5
21.4,0.8,10.7,"Hilo, HI",32.7,2011,11.8
1.4,22.2,0.0,"Hilton Head Island, SC",69.2,2011,12.2
2.3,35.4,0.1,"Hinesville, GA",53.5,2011,11.7
0.0,3.8,0.0,"Hobbs, NM",87.3,2011,52.1
2.6,2.3,0.0,"Holland, MI",89.5,2011,8.8
0.9,3.2,0.0,"Homosassa Springs, FL",93.6,2011,4.9
43.5,2.4,9.3,"Honolulu, HI",21.5,2011,8.5
0.1,9.5,0.0,"Hot Springs, AR",84.6,2011,5.0
0.8,16.2,0.5,"Houma, LA",74.9,2011,4.1
6.6,17.1,0.0,"Houston, TX",65.6,2011,35.9
0.3,2.4,0.0,"Huntington, WV",94.6,2011,1.0
1.9,22.2,0.1,"Huntsville, AL",71.3,2011,4.9
N,N,N,"Huntsville, TX",N,2011,17.5
0.6,3.4,0.0,"Hutchinson, KS",89.5,2011,7.8
0.5,0.3,0.2,"Idaho Falls, ID",93.9,2011,11.7
1.2,2.8,0.0,"Indiana, PA",94.4,2011,1.0
2.2,15.0,0.0,"Indianapolis, IN",77.7,2011,6.3
4.9,3.6,0.0,"Iowa City, IA",86.1,2011,4.9
9.6,4.3,0.0,"Ithaca, NY",82.1,2011,4.6
0.5,8.1,0.0,"Jackson, MI",88.1,2011,3.1
1.0,47.4,0.0,"Jackson, MS",49.7,2011,2.1
1.2,31.3,0.1,"Jackson, TN",64.9,2011,3.2
3.3,21.9,0.2,"Jacksonville, FL",70.7,2011,7.2
1.7,16.4,0.2,"Jacksonville, NC",75.4,2011,10.5
0.7,2.3,0.0,"Jamestown, NY",92.9,2011,6.3
1.2,4.5,0.0,"Janesville, WI",90.6,2011,7.8
0.6,7.3,0.1,"Jefferson City, MO",88.2,2011,2.3
0.5,3.0,0.0,"Johnson City, TN",93.7,2011,2.7
0.5,3.6,0.0,"Johnstown, PA",93.6,2011,1.5
1.0,13.4,0.2,"Jonesboro, AR",83.6,2011,4.0
1.2,1.8,0.0,"Joplin, MO",91.7,2011,6.2
25.1,0.8,7.8,"Kahului, HI",33.9,2011,10.4
1.6,9.7,0.1,"Kalamazoo, MI",83.4,2011,5.6
N,N,N,"Kalispell, MT",N,2011,2.4
1.1,14.8,0.0,"Kankakee, IL",79.9,2011,9.2
2.3,12.1,0.1,"Kansas City, MO",79.5,2011,8.3
37.5,0.5,9.2,"Kapaa, HI",32.9,2011,9.7
1.4,0.9,0.0,"Keene, NH",95.9,2011,0.8
3.4,1.4,0.1,"Kennewick, WA",72.1,2011,28.8
0.5,7.1,0.0,"Key West, FL",90.2,2011,21.0
3.1,19.7,0.5,"Killeen, TX",68.1,2011,20.3
0.7,2.4,0.0,"Kingsport, TN",94.6,2011,1.1
1.7,5.8,0.0,"Kingston, NY",87.6,2011,9.0
1.4,1.4,0.3,"Klamath Falls, OR",89.5,2011,10.3
1.8,7.1,0.0,"Knoxville, TN",88.8,2011,3.0
1.0,6.2,0.0,"Kokomo, IN",90.6,2011,2.6
3.7,1.5,0.0,"La Crosse, WI",92.5,2011,1.4
5.5,3.5,0.0,"Lafayette, IN",87.6,2011,7.7
1.7,27.1,0.0,"Lafayette, LA",69.1,2011,3.4
1.9,34.2,0.0,"LaGrange, GA",61.2,2011,3.5
1.2,24.5,0.0,"Lake Charles, LA",71.6,2011,2.6
0.4,18.7,0.0,"Lake City, FL",77.0,2011,6.1
0.7,1.2,0.1,"Lake Havasu City, AZ",88.4,2011,15.2
1.8,14.8,0.0,"Lakeland, FL",79.0,2011,18.1
1.9,3.4,0.0,"Lancaster, PA",89.8,2011,8.9
N,N,N,"Lancaster, SC",N,2011,4.6
4.0,8.4,0.0,"Lansing, MI",81.8,2011,6.2
0.9,0.1,0.0,"Laredo, TX",93.1,2011,95.4
1.3,1.7,0.0,"Las Cruces, NM",90.0,2011,65.9
8.5,10.5,0.7,"Las Vegas, NV",67.6,2011,29.7
N,N,N,"Laurel, MS",N,2011,4.2
3.9,4.3,0.0,"Lawrence, KS",85.6,2011,5.5
2.4,17.0,0.1,"Lawton, OK",65.0,2011,11.5
1.8,0.5,0.0,"Lebanon, NH",95.0,2011,1.4
1.1,2.0,0.0,"Lebanon, PA",89.0,2011,9.7
0.2,0.5,0.4,"Lewiston, ID",90.4,2011,4.0
0.8,1.3,0.0,"Lewiston, ME",92.9,2011,1.6
2.5,11.2,0.0,"Lexington, KY",81.9,2011,5.5
3.0,15.1,0.0,"Lexington Park, MD",78.5,2011,4.0
0.7,11.4,0.0,"Lima, OH",83.9,2011,2.5
