total_estimate_educational_attainment_population_25_years_and_over,percent_below_poverty_level_estimate_age_65_years_and_over,"percent_below_poverty_level_estimate_worked_full-time,_year-round_in_the_past_12_months",total_estimate_age_18_to_64_years,total_estimate_employment_status_civilian_labor_force_16_years_and_over,total_estimate_population_for_whom_poverty_status_is_determined,percent_below_poverty_level_estimate_age_under_18_years,percent_below_poverty_level_estimate_population_for_whom_poverty_status_is_determined,total_estimate_sex_female,total_estimate_work_experience_population_16_years_and_over,total_estimate_mean_income_deficit_for_unrelated_individuals_(dollars),total_estimate_age_under_18_years,total_estimate_sex_male,total_estimate_age_65_years_and_over,percent_below_poverty_level_estimate_age_18_to_64_years,Year,city_name
129729,3.6,7.6,127477,102581,195705,14.5,14.3,98057,158799,5874.0,42150,97648,26078,16.4,2010,"Bellingham, WA"
109851,7.0,2.7,98174,79166,157453,24.5,15.4,79660,126334,6905.0,35752,77793,23527,14.0,2010,"Bend, OR"
105696,6.9,1.7,95475,84304,152832,20.1,13.5,77939,120911,4925.0,35673,74893,21684,12.5,2010,"Billings, MT"
166039,6.9,2.8,149022,123243,238102,21.9,15.0,120968,194251,6210.0,49766,117134,39314,14.8,2010,"Binghamton, NY"
747787,9.2,3.0,701711,553098,1110122,26.0,17.0,577727,875900,5813.0,266051,532395,142360,15.2,2010,"Birmingham, AL"
72160,13.1,3.4,66952,61751,106360,11.0,9.5,53971,84226,4950.0,24788,52389,14620,8.3,2010,"Bismarck, ND"
93382,6.4,6.2,97903,76030,143344,22.6,22.2,73791,120744,7321.0,26154,69553,19287,25.2,2010,"Blacksburg, VA"
110822,7.8,2.3,119531,91487,176480,16.7,21.5,87701,145849,7669.0,34627,88779,22322,25.5,2010,"Bloomington, IN"
100758,4.8,2.6,106989,91290,161261,5.8,11.8,80403,126947,7278.0,37852,80858,16420,15.0,2010,"Bloomington, IL"
55470,10.2,1.7,50950,40819,79138,17.6,16.5,41064,65211,8000.0,15879,38074,12309,17.6,2010,"Bloomsburg, PA"
