total_estimate_educational_attainment_population_25_years_and_over,percent_below_poverty_level_estimate_age_65_years_and_over,"percent_below_poverty_level_estimate_worked_full-time,_year-round_in_the_past_12_months",total_estimate_age_18_to_64_years,total_estimate_employment_status_civilian_labor_force_16_years_and_over,total_estimate_population_for_whom_poverty_status_is_determined,percent_below_poverty_level_estimate_age_under_18_years,percent_below_poverty_level_estimate_population_for_whom_poverty_status_is_determined,total_estimate_sex_female,total_estimate_work_experience_population_16_years_and_over,total_estimate_mean_income_deficit_for_unrelated_individuals_(dollars),total_estimate_age_under_18_years,total_estimate_sex_male,total_estimate_age_65_years_and_over,percent_below_poverty_level_estimate_age_18_to_64_years,Year,city_name
44663,11.5,4.6,49593,33192,78964,27.7,18.9,40646,57019,4045.0,23932,38318,5439,15.5,2011,"Hinesville, GA"
39228,8.4,0.7,37813,28732,63411,29.8,19.0,31928,46447,7604.0,18583,31483,7015,15.7,2011,"Hobbs, NM"
162796,7.6,6.2,159005,136503,257087,12.6,12.0,129219,197436,6370.0,67148,127868,30934,12.6,2011,"Holland, MI"
108678,7.6,3.4,71862,51992,137399,33.2,17.0,70139,119713,7253.0,21038,67260,44499,18.0,2011,"Homosassa Springs, FL"
639757,8.2,2.4,585187,470514,933104,13.3,10.1,470336,746259,7081.0,208310,462768,139607,9.4,2011,"Honolulu, HI"
67968,9.5,3.6,55958,43988,95019,34.1,21.8,48852,77721,5819.0,19344,46167,19717,21.9,2011,"Hot Springs, AR"
133396,12.0,5.5,129562,97107,205276,27.4,18.9,105039,159861,5883.0,51986,100237,23728,16.7,2011,"Houma, LA"
3779664,10.7,3.5,3809095,3078755,6004317,26.1,17.4,3023386,4517654,6769.0,1663027,2980931,532195,14.5,2011,"Houston, TX"
193358,10.3,8.1,173000,120087,279823,24.6,19.9,144410,225982,6246.0,60802,135413,46021,20.7,2011,"Huntington, WV"
276585,6.6,4.9,261459,216006,411374,21.0,14.0,212395,325931,6047.0,98698,198979,51217,12.8,2011,"Huntsville, AL"
29020,13.5,1.9,31453,25568,47643,33.6,26.4,25336,39356,7361.0,9325,22307,6865,27.0,2011,"Huntsville, TX"
41361,9.3,7.0,35881,31611,60464,11.3,9.6,31745,47509,3859.0,14761,28719,9822,9.0,2011,"Hutchinson, KS"
77596,2.9,4.5,74109,62746,131390,18.1,13.8,66267,92212,6030.0,42835,65123,14446,13.4,2011,"Idaho Falls, ID"
55389,8.9,3.4,53761,41310,83474,23.1,18.4,42158,69589,6850.0,16091,41316,13622,19.4,2011,"Indiana, PA"
1140482,7.5,2.3,1098436,919920,1741177,20.0,14.1,892354,1336669,6792.0,454376,848823,188365,12.7,2011,"Indianapolis, IN"
90570,2.9,1.6,101252,88502,146673,23.0,18.8,73874,119478,7566.0,30547,72799,14874,19.8,2011,"Iowa City, IA"
58419,4.6,2.9,62695,49689,89142,19.3,21.0,44534,75888,8613.0,15525,44608,10922,24.2,2011,"Ithaca, NY"
101735,3.1,0.3,92650,72608,150096,22.8,15.3,75711,118751,6263.0,35767,74385,21679,15.2,2011,"Jackson, MI"
343300,10.2,3.0,333251,259606,528746,25.9,18.5,277882,408817,6919.0,136604,250864,58891,16.9,2011,"Jackson, MS"
74624,14.4,4.4,68991,53160,111512,32.4,20.6,58368,87499,6106.0,26931,53144,15590,17.4,2011,"Jackson, TN"
897862,8.7,3.1,852502,687747,1334253,20.5,15.2,687175,1056097,6792.0,314195,647078,167556,14.5,2011,"Jacksonville, FL"
90310,9.1,8.5,104604,68766,163243,21.6,15.3,82789,121631,5689.0,44967,80454,13672,13.4,2011,"Jacksonville, NC"
88280,8.0,2.4,78985,62355,127968,32.8,20.2,64791,103742,6520.0,27664,63177,21319,19.0,2011,"Jamestown, NY"
105855,8.1,0.8,96632,82535,155388,21.9,15.0,78325,122397,6524.0,37586,77063,21170,13.9,2011,"Janesville, WI"
95213,8.2,6.1,88401,72792,142071,15.4,12.3,71091,111377,6419.0,35097,70980,18573,12.0,2011,"Jefferson City, MO"
136984,8.7,8.8,122312,90618,193351,26.3,19.8,98659,158195,6130.0,39602,94692,31437,20.5,2011,"Johnson City, TN"
97831,8.2,1.6,82117,63519,135540,22.5,14.0,68113,111856,4962.0,27181,67427,26242,13.0,2011,"Johnstown, PA"
75489,12.0,5.5,72594,57241,117438,31.5,22.5,59876,90249,6298.0,30022,57562,14822,21.0,2011,"Jonesboro, AR"
113521,9.8,5.9,105211,84948,173355,21.5,15.5,87325,134776,5387.0,43541,86030,24603,14.4,2011,"Joplin, MO"
108061,5.1,1.6,99097,85693,154689,17.2,12.3,77065,123776,7921.0,34945,77624,20647,12.1,2011,"Kahului, HI"
204683,10.2,6.4,204801,166473,319111,25.9,20.8,162663,254440,6122.0,73449,156448,40861,21.1,2011,"Kalamazoo, MI"
62689,6.7,7.6,56284,48521,90352,14.9,10.6,45757,71658,6412.0,20726,44595,13342,9.9,2011,"Kalispell, MT"
71952,5.9,1.7,66220,54213,109207,25.7,16.6,56487,84310,6641.0,27869,52720,15118,15.3,2011,"Kankakee, IL"
1342520,6.2,2.9,1265479,1091353,2014556,19.7,13.4,1031780,1561903,6664.0,508690,982776,240387,12.3,2011,"Kansas City, MO"
47706,4.6,2.1,41698,34924,66907,19.1,12.3,33830,53414,7451.0,14963,33077,10246,11.8,2011,"Kapaa, HI"
51255,8.1,3.2,46456,40992,72096,8.2,9.7,36186,59351,6533.0,14358,35910,11282,10.5,2011,"Keene, NH"
158494,5.3,6.6,157977,120546,259531,25.3,16.7,130125,192822,6397.0,75356,129406,26198,14.5,2011,"Kennewick, WA"
56475,7.7,6.5,47836,41050,72651,25.3,13.5,35161,63152,6728.0,10818,37490,13997,12.5,2011,"Key West, FL"
234301,7.4,3.7,240557,169342,390221,21.8,15.6,201363,287427,7235.0,112910,188858,36754,13.9,2011,"Killeen, TX"
220263,10.7,7.0,188044,143050,307501,22.5,16.1,158443,251968,5357.0,63079,149058,56378,15.5,2011,"Kingsport, TN"
123692,10.3,3.5,113390,93167,174642,17.6,14.7,89703,145130,7235.0,34589,84939,26663,14.8,2011,"Kingston, NY"
45054,7.0,0.0,38660,29993,64334,32.9,24.5,32909,52377,7397.0,13544,31425,12130,27.0,2011,"Klamath Falls, OR"
474755,7.3,2.1,437172,352845,689396,20.0,14.2,354454,556234,6648.0,150311,334942,101913,13.9,2011,"Knoxville, TN"
67469,5.8,4.4,60025,49027,98213,22.3,16.8,51027,79261,6861.0,22313,47186,15875,17.6,2011,"Kokomo, IN"
85106,9.9,4.3,83238,74511,129194,15.4,14.7,65410,105074,7337.0,28151,63784,17805,15.5,2011,"La Crosse, WI"
113572,5.3,1.9,130291,101035,194009,21.2,21.0,95914,154681,7983.0,43493,98095,20225,23.4,2011,"Lafayette, IN"
174455,10.4,4.7,175814,145359,272131,23.5,18.6,140659,212916,6606.0,67652,131472,28665,18.0,2011,"Lafayette, LA"
42304,13.1,2.6,40968,32154,66253,33.9,22.1,34489,50999,5802.0,17136,31764,8149,19.0,2011,"LaGrange, GA"
128696,11.9,3.6,122847,95284,197664,25.8,18.6,102218,153618,7364.0,50168,95446,24649,17.0,2011,"Lake Charles, LA"
41670,8.3,9.3,37168,29954,62961,35.1,22.1,31275,50125,7969.0,15089,31686,10704,20.8,2011,"Lake City, FL"
143291,9.1,10.0,107839,81190,196934,37.5,21.7,99836,161369,6887.0,40856,97098,48239,21.3,2011,"Lake Havasu City, AZ"
404461,7.5,3.0,344866,264538,594748,31.1,19.4,308065,471965,6823.0,139801,286683,110081,18.5,2011,"Lakeland, FL"
337348,6.4,3.2,307007,273022,508620,16.3,10.9,260021,396783,6289.0,126355,248599,75258,9.8,2011,"Lancaster, PA"
51996,8.7,1.4,45818,36468,75984,31.2,19.3,38875,60071,7010.0,17689,37109,12477,17.5,2011,"Lancaster, SC"
287365,6.8,4.3,292978,231539,444452,21.3,18.6,227492,359597,7115.0,96918,216960,54556,19.8,2011,"Lansing, MI"
136226,24.1,12.3,143604,101395,251953,45.4,32.9,129615,172984,7398.0,88404,122338,19945,26.3,2011,"Laredo, TX"
126997,16.5,7.2,126082,98753,208646,42.1,30.8,107084,159151,6356.0,55935,101562,26629,28.8,2011,"Las Cruces, NM"
1287902,9.8,3.8,1235430,1001296,1946168,23.5,16.9,970642,1516394,7270.0,481848,975526,228890,15.6,2011,"Las Vegas, NV"
55987,15.1,6.6,50533,36782,84486,27.5,18.5,44421,66648,5405.0,20240,40065,13713,15.8,2011,"Laurel, MS"
61328,2.9,4.7,74276,65059,103415,8.8,16.6,51282,85620,7161.0,19854,52133,9285,20.4,2011,"Lawrence, KS"
75304,10.7,2.2,72967,54029,115874,23.8,17.0,59876,88219,6520.0,30631,55998,12276,15.2,2011,"Lawton, OK"
120846,6.3,2.1,105906,91735,166196,14.7,11.8,84960,137183,6900.0,32309,81236,27981,12.3,2011,"Lebanon, NH"
90659,6.5,0.0,79600,69763,131055,19.2,11.1,66474,104134,5207.0,30328,64581,21127,9.2,2011,"Lebanon, PA"
40667,8.4,1.2,36552,30956,60199,17.4,12.9,31211,48406,6382.0,13671,28988,9976,12.5,2011,"Lewiston, ID"
72504,7.5,0.6,66046,56330,104175,26.3,16.4,53053,83433,6039.0,23385,51122,14744,14.9,2011,"Lewiston, ME"
305304,10.1,6.9,304210,252468,462588,22.1,17.3,238931,368096,6469.0,105363,223657,53015,16.9,2011,"Lexington, KY"
68478,4.8,0.0,66443,54199,105296,11.3,7.9,53400,81390,6616.0,27573,51896,11280,7.1,2011,"Lexington Park, MD"
66946,9.0,1.5,62807,52345,102598,31.2,19.3,51476,80933,5816.0,25036,51122,14755,17.0,2011,"Lima, OH"
185943,4.8,4.8,190014,172010,292126,19.1,14.9,145625,230265,5759.0,68836,146501,33276,15.1,2011,"Lincoln, NE"
53939,12.1,1.6,49404,41676,77920,23.5,14.5,40124,62206,7247.0,17853,37796,10663,11.7,2011,"Lincolnton, NC"
461170,8.9,5.9,440251,357531,695720,18.8,14.7,357439,542874,6108.0,169835,338281,85634,14.3,2011,"Little Rock, AR"
64248,3.1,5.4,71736,60732,120645,17.1,16.6,60918,85828,5742.0,38395,59727,10514,18.3,2011,"Logan, UT"
134511,15.2,0.7,125061,100506,208253,23.1,16.2,106388,159626,5857.0,54540,101865,28652,13.5,2011,"Longview, TX"
69730,8.0,6.3,60814,43386,101400,30.0,20.6,51406,80266,5502.0,24427,49994,16159,20.1,2011,"Longview, WA"
8378592,11.9,3.2,8251028,6606417,12755538,23.9,17.0,6461298,10062763,6647.0,3073848,6294240,1430662,15.4,2011,"Los Angeles, CA"
859680,9.6,2.3,804620,667223,1270123,22.9,15.3,652073,1001891,6153.0,302672,618050,162831,13.6,2011,"Louisville/Jefferson County, KY"
165291,7.4,4.2,178414,153656,278755,26.4,20.9,142605,216177,7071.0,69098,136150,31243,21.2,2011,"Lubbock, TX"
54050,4.9,12.0,50817,41217,85500,27.4,18.1,43667,63795,7069.0,23127,41833,11556,16.9,2011,"Lufkin, TX"
81113,18.9,4.4,80391,54741,131382,43.0,30.4,68538,99335,7535.0,35785,62844,15206,26.9,2011,"Lumberton, NC"
165484,7.2,2.3,149288,123035,241196,24.1,16.1,124464,196312,6909.0,52066,116732,39842,15.7,2011,"Lynchburg, VA"
145489,10.9,3.4,133450,101421,218336,30.3,22.7,114778,169343,6172.0,54503,103558,30383,22.3,2011,"Macon, GA"
83781,4.7,3.6,82841,54893,140782,34.8,24.3,69028,104203,6650.0,41212,71754,16729,23.0,2011,"Madera, CA"
372525,3.9,2.1,376544,338037,559774,15.5,12.6,283769,451704,6462.0,121922,276005,61308,13.0,2011,"Madison, WI"
270923,5.8,1.7,255426,225620,394420,11.3,8.2,198366,314068,5738.0,91413,196054,47581,7.6,2011,"Manchester, NH"
65336,8.0,6.8,79290,57400,119432,12.4,17.0,57745,92127,7435.0,30455,61687,9687,19.9,2011,"Manhattan, KS"
56625,5.5,1.8,49109,44389,79488,9.1,6.9,39986,65130,6705.0,17078,39502,13301,6.6,2011,"Manitowoc, WI"
56848,8.2,6.2,60039,56197,90792,17.2,17.1,46264,73266,6419.0,19631,44528,11122,18.8,2011,"Mankato, MN"
81261,8.1,2.6,70293,57224,116913,26.2,17.0,60112,92894,5908.0,27036,56801,19584,15.9,2011,"Mansfield, OH"
47199,7.8,3.8,38631,31861,64865,19.7,13.5,32194,53649,6238.0,13399,32671,12835,13.3,2011,"Marinette, WI"
44464,7.2,1.5,38000,29148,63319,18.9,16.1,32409,50937,6595.0,14693,30910,10626,17.6,2011,"Marion, IN"
40567,8.7,3.7,36577,28443,59091,31.4,19.4,30375,47409,5631.0,13500,28716,9014,17.6,2011,"Marion, OH"
44696,14.1,9.3,39902,31502,64838,19.1,14.8,33527,52232,6379.0,14242,31311,10694,13.5,2011,"Marion, IL"
42194,6.0,9.6,41354,31622,63215,24.9,19.6,31903,52647,7161.0,12235,31312,9626,21.2,2011,"Marquette, MI"
41941,14.3,1.4,39479,30560,64965,18.1,13.4,32943,49831,6603.0,17117,32022,8369,11.1,2011,"Marshall, TX"
51968,5.7,4.5,45165,38840,73673,20.3,13.0,37293,59629,5238.0,16015,36380,12493,12.4,2011,"Marshfield, WI"
47454,6.9,6.3,39813,30755,66237,41.2,22.7,34287,54069,6480.0,13563,31950,12861,21.4,2011,"Martinsville, VA"
69299,36.1,12.6,64549,33947,107129,63.3,51.0,55384,87069,7661.0,23224,51745,19356,51.1,2011,"Mayag?ez, PR"
431568,26.7,6.7,443170,323994,790642,48.8,37.7,406273,546809,5908.0,273479,384369,73993,32.8,2011,"McAllen, TX"
58969,7.5,2.1,51138,39894,84926,22.7,14.1,42823,68275,4623.0,19169,42103,14619,12.8,2011,"Meadville, PA"
141602,7.2,8.4,122875,98340,202247,27.4,20.2,104597,163803,5916.0,42886,97650,36486,21.6,2011,"Medford, OR"
832346,12.1,2.3,819807,660255,1299748,28.9,19.3,678608,997011,6797.0,341524,621140,138417,16.5,2011,"Memphis, TN"
144021,15.3,1.9,151016,113474,255992,37.4,27.4,126967,185837,6959.0,80083,129025,24893,24.2,2011,"Merced, CA"
65541,16.9,1.5,59873,47013,98998,37.9,24.1,52415,76715,5076.0,24795,46583,14330,20.1,2011,"Meridian, MS"
3906602,14.8,3.4,3507309,2913830,5596852,25.1,17.8,2891085,4546579,6239.0,1194069,2705767,895474,16.1,2011,"Miami, FL"
70192,7.4,2.6,62201,52494,102856,27.6,18.0,53430,80239,8481.0,25051,49426,15604,16.8,2011,"Michigan City, IN"
56915,5.6,11.2,51343,39658,82596,20.7,14.0,42096,65915,5424.0,19038,40500,12215,13.5,2011,"Midland, MI"
87832,11.0,4.4,86466,72516,138980,14.7,11.7,70593,105277,5359.0,37635,68387,14879,10.6,2011,"Midland, TX"
1019885,8.5,2.5,964706,823399,1533168,22.4,15.2,789046,1200775,6157.0,376430,744122,192032,13.7,2011,"Milwaukee, WI"
2177358,7.4,1.9,2103937,1864650,3263387,14.3,11.0,1653592,2542380,6373.0,810743,1609795,348707,10.4,2011,"Minneapolis, MN"
44846,7.8,2.8,43948,37187,70679,17.5,9.8,34629,54814,5442.0,17386,36050,9345,7.2,2011,"Minot, ND"
70296,5.0,5.6,73750,63994,107294,17.6,17.4,53549,88499,5510.0,21080,53745,12464,19.4,2011,"Missoula, MT"
264205,11.0,2.4,249557,190144,404193,29.5,19.4,211962,314730,6631.0,101322,192231,53314,17.2,2011,"Mobile, AL"
314882,13.8,5.0,315212,243666,513309,33.2,23.8,258035,387186,6535.0,143931,255274,54166,21.3,2011,"Modesto, CA"
108804,18.4,3.6,101946,80050,169657,45.1,27.9,91057,129080,6253.0,45589,78600,22122,22.2,2011,"Monroe, LA"
102232,7.9,2.6,95192,75805,150291,19.7,12.2,75915,119459,5383.0,35174,74376,19925,10.3,2011,"Monroe, MI"
237167,8.9,5.3,226728,175731,364257,30.1,20.3,193820,284201,5856.0,91918,170437,45611,18.6,2011,"Montgomery, AL"
47672,7.5,9.3,40007,32826,66059,32.1,19.2,35391,54616,3938.0,13458,30668,12594,18.6,2011,"Morehead City, NC"
78753,4.5,7.8,86958,61296,123360,13.9,18.1,60386,104548,8109.0,21379,62974,15023,21.4,2011,"Morgantown, WV"
94285,11.7,4.5,82390,64321,135076,28.2,20.0,69487,107872,6104.0,30424,65589,22262,19.3,2011,"Morristown, TN"
54065,12.6,12.6,51126,43962,90054,28.7,21.0,44079,65653,5916.0,27281,45975,11647,18.9,2011,"Moses Lake, WA"
49894,15.5,1.3,44364,34769,72602,31.9,23.3,36713,57893,5287.0,16505,35889,11733,22.1,2011,"Mount Airy, NC"
34661,6.1,5.7,45004,34395,63864,24.7,31.7,32444,53105,7844.0,11944,31420,6916,37.5,2011,"Mount Pleasant, MI"
79674,8.0,4.4,69774,56822,116107,23.7,15.1,58285,92868,6238.0,26788,57822,19545,13.8,2011,"Mount Vernon, WA"
69690,4.9,7.9,70678,52842,109375,25.4,23.0,56113,90139,7593.0,22033,53262,16664,26.5,2011,"Muncie, IN"
108116,11.1,3.3,100354,77172,164286,27.8,20.0,84852,128064,6408.0,41094,79434,22838,18.8,2011,"Muskegon, MI"
43973,8.6,0.0,39593,28093,67298,37.9,25.6,34749,51822,6587.0,17462,32549,10243,24.5,2011,"Muskogee, OK"
194444,8.3,6.2,171353,138433,273343,31.6,18.9,139441,225776,6462.0,53824,133902,48166,17.8,2011,"Myrtle Beach, SC"
36160,8.1,3.8,37587,26962,59947,35.5,24.6,31193,45837,6924.0,14815,28754,7545,23.5,2011,"Nacogdoches, TX"
92750,6.4,0.0,83330,71191,134719,23.8,14.6,67651,107588,7938.0,31045,67068,20344,13.1,2011,"Napa, CA"
239445,7.7,4.3,174521,149482,324952,34.2,17.0,164702,270632,7043.0,61908,160250,88523,15.6,2011,"Naples, FL"
1059152,7.8,4.2,1024246,847135,1581761,20.8,14.7,813723,1238362,6195.0,384841,768038,172674,13.5,2011,"Nashville, TN"
84154,6.7,4.4,73925,58236,123543,24.8,14.7,64360,98536,5970.0,28747,59183,20871,12.9,2011,"New Bern, NC"
62935,8.8,1.6,52729,42546,87805,28.2,16.5,45379,70925,6436.0,18806,42426,16270,14.6,2011,"New Castle, PA"
577436,7.2,1.7,528759,464351,834385,19.9,13.2,432504,671971,6394.0,186136,401881,119490,12.2,2011,"New Haven, CT"
45640,16.7,13.3,44643,34383,72344,27.1,20.3,36550,55520,5191.0,19031,35794,8670,18.2,2011,"New Iberia, LA"
788204,12.0,4.5,751534,594808,1170955,27.9,19.5,604977,930184,6406.0,274260,565978,145161,17.8,2011,"New Orleans, LA"
61964,7.5,1.2,55350,47595,91260,21.4,14.3,46762,72003,7094.0,21543,44498,14367,13.3,2011,"New Philadelphia, OH"
12793296,12.0,2.4,12021687,9804386,18696533,19.9,14.4,9682750,14958797,6593.0,4237897,9013783,2436949,12.9,2011,"New York, NY"
104151,8.5,4.7,91466,74672,152853,26.8,17.0,78592,121071,6383.0,35828,74261,25559,15.5,2011,"Niles, MI"
531410,6.7,2.5,379994,315534,698542,22.4,13.4,362910,590574,6602.0,122810,335632,195738,13.9,2011,"North Port, FL"
48007,13.0,0.0,41330,29964,67947,43.4,28.3,34690,54899,5874.0,15053,33257,11564,27.1,2011,"North Wilkesboro, NC"
183163,7.5,0.6,165422,141058,260745,11.7,8.8,133239,210430,5930.0,56957,127506,38366,8.1,2011,"Norwich, CT"
56247,3.9,0.5,46909,35241,76781,14.1,9.5,39420,62467,7135.0,15280,37361,14592,9.8,2011,"Oak Harbor, WA"
238887,5.4,6.4,176406,135984,322832,29.1,17.2,165543,270987,5897.0,60312,157289,86114,18.8,2011,"Ocala, FL"
70590,6.4,0.0,56144,48046,94791,19.6,11.4,49073,79760,5130.0,17698,45718,20949,10.6,2011,"Ocean City, NJ"
82596,11.2,4.0,83862,68150,138403,15.8,14.0,70173,101240,6596.0,40876,68230,13665,13.6,2011,"Odessa, TX"
320754,4.8,3.4,324399,267939,551286,12.2,10.1,274400,390997,6776.0,177414,276886,49473,9.8,2011,"Ogden, UT"
69121,7.4,1.2,62973,47948,100117,24.8,18.6,50119,80393,6119.0,22315,49998,14829,19.0,2011,"Ogdensburg, NY"
810695,7.6,5.4,784955,639958,1246577,22.0,16.6,634790,965643,6523.0,314549,611787,147073,16.1,2011,"Oklahoma City, OK"
53271,8.1,4.3,47234,37351,77052,30.8,19.5,39441,61455,5187.0,17637,37611,12181,18.2,2011,"Olean, NY"
173446,8.2,1.8,163498,128716,253664,17.7,13.0,130868,203695,6456.0,57317,122796,32849,12.3,2011,"Olympia, WA"
558426,7.9,2.9,538396,474063,856652,18.0,12.6,434180,657140,6247.0,223057,422472,95199,11.2,2011,"Omaha, NE"
52390,19.5,7.5,48610,33984,82210,36.7,25.7,42837,62214,5936.0,22486,39373,11114,22.0,2011,"Opelousas, LA"
59150,23.0,5.6,54853,39927,88862,29.7,22.2,47185,70888,6664.0,20503,41677,13506,19.2,2011,"Orangeburg, SC"
1414852,8.7,2.8,1367794,1134174,2131119,22.3,16.0,1091535,1696551,6683.0,496754,1039584,266571,15.1,2011,"Orlando, FL"
107437,5.0,7.6,102016,86275,158816,20.8,13.4,81144,127119,5983.0,35294,77672,21506,12.5,2011,"Oshkosh, WI"
103161,5.8,1.8,90214,79239,149121,14.6,10.3,75341,119205,5253.0,33913,73780,24994,9.8,2011,"Ottawa, IL"
76924,7.7,4.8,70046,55455,116067,24.6,15.4,59013,89720,5555.0,29861,57054,16160,13.2,2011,"Owensboro, KY"
46727,6.3,1.7,42407,33048,68486,21.2,14.5,35045,54947,7618.0,15941,33441,10138,14.0,2011,"Owosso, MI"
535659,7.7,2.0,515997,435857,820547,15.7,11.3,413634,639763,6147.0,206148,406913,98402,10.2,2011,"Oxnard, CA"
68909,8.5,13.6,59894,47535,97175,27.2,17.4,49613,78961,5217.0,20345,47562,16936,16.6,2011,"Paducah, KY"
49875,13.2,0.3,42378,26524,72430,43.8,28.7,37163,58304,6393.0,16243,35267,13809,28.0,2011,"Palatka, FL"
390733,6.8,3.8,322302,257201,536439,23.2,14.0,272358,447348,6578.0,103248,264081,110889,13.6,2011,"Palm Bay, FL"
70053,16.2,0.6,54089,42064,96936,37.4,19.1,50820,81490,8847.0,18887,46116,23960,13.9,2011,"Palm Coast, FL"
114964,8.4,2.0,106415,85146,166312,19.1,12.6,85651,133914,6595.0,36124,80661,23773,11.3,2011,"Panama City, FL"
112282,10.2,8.4,97573,74776,158659,21.8,16.6,81520,129109,5184.0,34080,77139,27006,16.5,2011,"Parkersburg, WV"
106420,7.8,4.1,100387,74917,160853,24.2,17.3,81489,124869,6750.0,40165,79364,20301,16.5,2011,"Pascagoula, MS"
54747,7.7,7.5,50466,42169,84584,28.4,17.3,41846,64323,6584.0,22930,42738,11188,14.3,2011,"Pendleton, OR"
293796,7.5,5.5,270889,212816,430728,22.4,15.4,222613,343666,6249.0,98102,208115,61737,14.7,2011,"Pensacola, FL"
252685,7.0,2.2,229321,191450,371383,23.2,15.0,190224,293406,6199.0,88144,181159,53918,13.7,2011,"Peoria, IL"
3953422,8.3,2.1,3705471,3083907,5842322,18.3,13.5,3032532,4642562,6720.0,1362709,2809790,774142,12.9,2011,"Philadelphia, PA"
2697892,8.4,2.6,2562376,2060993,4184140,24.9,17.4,2115679,3216205,7533.0,1089338,2068461,532426,16.0,2011,"Phoenix, AZ"
59249,18.2,5.7,54819,43128,89972,34.2,22.2,47787,70042,4725.0,22413,42185,12740,18.3,2011,"Pine Bluff, AR"
1652669,7.7,1.9,1445950,1200695,2302913,18.3,12.6,1192409,1896478,5879.0,463740,1110504,393223,12.2,2011,"Pittsburgh, PA"
91439,8.1,3.1,75950,67068,124064,20.3,13.4,64257,102932,6043.0,24417,59807,23697,12.8,2011,"Pittsfield, MA"
51705,9.2,3.5,48721,39115,74170,20.2,15.3,36907,61264,5904.0,14808,37263,10641,15.1,2011,"Plattsburgh, NY"
52421,5.6,5.2,53681,43718,88081,25.3,18.6,43225,65810,6699.0,24650,44856,9750,17.9,2011,"Pocatello, ID"
151857,42.4,7.5,142000,86121,236767,70.1,54.8,124518,184701,7181.0,59901,112249,34866,51.4,2011,"Ponce, PR"
53056,7.9,1.1,40698,30501,70978,10.1,11.2,36224,60218,5254.0,12689,34754,17591,12.9,2011,"Port Angeles, WA"
361195,7.3,3.4,322145,285759,502699,14.9,11.5,259632,410923,5805.0,104075,243067,76479,11.3,2011,"Portland, ME"
1524149,7.9,3.2,1450524,1196730,2226117,20.3,15.0,1127722,1768872,6220.0,516148,1098395,259445,14.4,2011,"Portland, OR"
302515,7.3,4.0,238332,196386,422368,30.8,18.3,215411,346117,6683.0,86885,206957,97151,18.2,2011,"Port St. Lucie, FL"
51263,16.9,0.0,46273,30820,75545,38.9,26.9,39030,59655,5114.0,17325,36515,11947,25.0,2011,"Portsmouth, OH"
102188,6.0,4.5,86593,69756,140753,17.3,11.5,70973,116500,6362.0,28636,69780,25524,11.1,2011,"Pottsville, PA"
423280,6.8,2.6,403233,337694,645634,17.3,12.2,328528,503796,6625.0,162622,317106,79779,11.2,2011,"Poughkeepsie, NY"
156740,7.4,2.4,117801,89926,209495,29.8,19.0,106052,176738,5922.0,38199,103443,53495,20.8,2011,"Prescott, AZ"
1069016,10.1,2.7,987731,851192,1542835,19.8,13.7,796189,1250379,5995.0,334137,746646,220967,12.5,2011,"Providence, RI"
260244,3.7,2.5,307760,242531,529467,12.2,14.1,264218,360012,6845.0,186052,265249,35655,16.5,2011,"Provo, UT"
103689,11.1,3.3,93874,75481,155509,27.2,18.6,79890,121765,6611.0,37811,75619,23824,17.0,2011,"Pueblo, CO"
125457,5.6,4.9,80292,65066,157643,17.4,11.9,83083,138065,6085.0,22158,74560,55193,14.7,2011,"Punta Gorda, FL"
51882,6.0,3.3,46238,40745,75830,27.3,16.3,38710,60650,6256.0,17410,37120,12182,15.0,2011,"Quincy, IL"
127489,6.5,4.4,118356,101378,189723,21.8,12.7,96715,148762,5765.0,46212,93008,25155,10.4,2011,"Racine, WI"
745712,7.1,3.6,731540,617193,1138172,17.9,12.3,587514,868288,6338.0,299354,550658,107278,10.8,2011,"Raleigh, NC"
82303,12.2,3.6,77264,65926,123673,18.1,12.8,63318,97002,5874.0,29443,60355,16966,11.0,2011,"Rapid City, SD"
269277,5.3,1.7,247093,211003,400426,19.9,13.7,203118,317101,6580.0,95647,197308,57686,13.4,2011,"Reading, PA"
121596,8.4,5.9,106796,78145,174694,24.6,20.1,89574,141720,6146.0,37911,85120,29987,21.7,2011,"Redding, CA"
282860,10.3,3.1,270680,225391,423382,16.5,13.1,211732,337253,6754.0,98870,211650,53832,12.3,2011,"Reno, NV"
45729,4.4,0.0,39619,33273,65777,40.6,22.2,33619,52231,6187.0,15303,32158,10855,20.0,2011,"Richmond, IN"
832163,7.8,2.0,789149,652664,1233621,16.9,12.4,641242,978154,6663.0,288186,592379,156286,11.7,2011,"Richmond, VA"
61729,13.5,6.7,61774,44783,95146,27.8,23.5,48735,75594,7379.0,21774,46411,11598,23.8,2011,"Richmond, KY"
2576425,10.5,2.1,2576400,1963072,4220269,24.5,18.0,2136006,3175812,7263.0,1193784,2084263,450085,16.3,2011,"Riverside, CA"
214038,9.6,2.8,187783,155043,300478,18.0,12.5,155075,244044,6061.0,64446,145403,48249,11.3,2011,"Roanoke, VA"
50590,16.9,5.4,44938,33420,73388,41.0,25.0,38639,60158,5909.0,15769,34749,12681,21.7,2011,"Roanoke Rapids, NC"
124503,6.1,2.7,114129,106496,184931,7.9,7.2,93957,142855,5964.0,46975,90974,23827,7.2,2011,"Rochester, MN"
693686,8.0,2.3,641876,529158,1015410,22.8,15.5,523655,815917,6482.0,228143,491755,145391,14.6,2011,"Rochester, NY"
