city,Year,per_capita_personal_income_dollars,personal_income_thousands_of_dollars,population_persons
"Abilene, TX",2000,22930,3675392,160288
"Abilene, TX",2001,23618,3753367,158917
"Abilene, TX",2002,24558,3905004,159012
"Abilene, TX",2003,26050,4137066,158810
"Abilene, TX",2004,27005,4325061,160156
"Abilene, TX",2005,28319,4552568,160761
"Abilene, TX",2006,30057,4850810,161389
"Abilene, TX",2007,31598,5119572,162023
"Abilene, TX",2008,34662,5632799,162508
"Abilene, TX",2009,33046,5415851,163888
"Abilene, TX",2010,34455,5705250,165585
"Abilene, TX",2011,36325,6052939,166634
"Abilene, TX",2012,37963,6356517,167442
"Abilene, TX",2013,39020,6534805,167473
"Abilene, TX",2014,41642,7010125,168342
"Abilene, TX",2015,40503,6872897,169688
"Abilene, TX",2016,39983,6797808,170017
"Abilene, TX",2017,40876,6966419,170429
"Abilene, TX",2018,43585,7459618,171150
"Akron, OH",2000,29816,20750568,695946
"Akron, OH",2001,30224,21099545,698108
"Akron, OH",2002,30614,21415769,699533
"Akron, OH",2003,31735,22250786,701139
"Akron, OH",2004,32908,23095011,701811
"Akron, OH",2005,33773,23725368,702498
"Akron, OH",2006,35110,24662208,702433
"Akron, OH",2007,36881,25942891,703423
"Akron, OH",2008,38396,27003814,703300
"Akron, OH",2009,37215,26175360,703361
"Akron, OH",2010,38244,26886702,703031
"Akron, OH",2011,39852,28023720,703200
"Akron, OH",2012,41108,28861978,702109
"Akron, OH",2013,41800,29411698,703621
"Akron, OH",2014,43724,30821441,704908
"Akron, OH",2015,45049,31731732,704382
"Akron, OH",2016,45704,32153668,703524
"Akron, OH",2017,47522,33455069,703987
"Akron, OH",2018,49556,34880215,703855
"Albany, GA",2000,22451,3448146,153585
"Albany, GA",2001,23054,3544067,153730
"Albany, GA",2002,24147,3695068,153024
"Albany, GA",2003,25090,3833427,152790
"Albany, GA",2004,25709,3930646,152887
"Albany, GA",2005,26580,4064538,152919
"Albany, GA",2006,27057,4154201,153535
"Albany, GA",2007,28062,4311977,153661
"Albany, GA",2008,29190,4490088,153823
"Albany, GA",2009,29733,4591059,154409
"Albany, GA",2010,30668,4727287,154145
"Albany, GA",2011,32842,5075541,154545
"Albany, GA",2012,33133,5101696,153976
"Albany, GA",2013,33089,5051615,152667
"Albany, GA",2014,34014,5168357,151949
"Albany, GA",2015,35060,5272524,150387
"Albany, GA",2016,35702,5324540,149137
"Albany, GA",2017,36780,5446810,148090
"Albany, GA",2018,38034,5622985,147840
"Albany, NY",2000,32392,26800742,827399
"Albany, NY",2001,33813,28099704,831034
"Albany, NY",2002,33891,28358097,836753
"Albany, NY",2003,34759,29358061,844619
"Albany, NY",2004,36053,30658678,850384
"Albany, NY",2005,37076,31685602,854604
"Albany, NY",2006,38863,33436698,860365
"Albany, NY",2007,40478,34935187,863068
"Albany, NY",2008,42588,36892825,866282
"Albany, NY",2009,42816,37222239,869361
"Albany, NY",2010,44420,38693831,871082
"Albany, NY",2011,45966,40118185,872778
"Albany, NY",2012,47539,41582543,874698
"Albany, NY",2013,48379,42431719,877065
"Albany, NY",2014,50214,44093361,878113
"Albany, NY",2015,52722,46347149,879085
"Albany, NY",2016,53620,47174310,879792
"Albany, NY",2017,56487,49830518,882158
"Albany, NY",2018,58443,51561974,882263
"Albany, OR",2000,23063,2375900,103020
"Albany, OR",2001,25047,2593500,103544
"Albany, OR",2002,25541,2670594,104561
"Albany, OR",2003,25750,2730439,106035
"Albany, OR",2004,27288,2914377,106799
"Albany, OR",2005,28013,3029078,108132
"Albany, OR",2006,29634,3282355,110764
"Albany, OR",2007,30518,3446514,112932
"Albany, OR",2008,30983,3562032,114967
"Albany, OR",2009,30734,3565145,116001
"Albany, OR",2010,31636,3697969,116891
"Albany, OR",2011,32378,3825868,118164
"Albany, OR",2012,33519,3964446,118273
"Albany, OR",2013,34009,4026793,118405
"Albany, OR",2014,36066,4293341,119042
"Albany, OR",2015,38344,4610378,120236
"Albany, OR",2016,39396,4836624,122769
"Albany, OR",2017,41169,5147507,125035
"Albany, OR",2018,43327,5522081,127451
"Albuquerque, NM",2000,26805,19627427,732220
"Albuquerque, NM",2001,27787,20615963,741932
"Albuquerque, NM",2002,28246,21402296,757716
"Albuquerque, NM",2003,29014,22402431,772128
"Albuquerque, NM",2004,30205,23838742,789237
"Albuquerque, NM",2005,31392,25413256,809551
"Albuquerque, NM",2006,33111,27523476,831252
"Albuquerque, NM",2007,33908,28809412,849641
"Albuquerque, NM",2008,35018,30233555,863383
"Albuquerque, NM",2009,34342,30098613,876448
"Albuquerque, NM",2010,34438,30634965,889558
"Albuquerque, NM",2011,35609,31977757,898016
"Albuquerque, NM",2012,35950,32424855,901939
"Albuquerque, NM",2013,35354,31993265,904953
"Albuquerque, NM",2014,37466,33889057,904538
"Albuquerque, NM",2015,38924,35265941,906026
"Albuquerque, NM",2016,40241,36588821,909237
"Albuquerque, NM",2017,40912,37324817,912311
"Albuquerque, NM",2018,42469,38856657,914947
"Alexandria, LA",2000,23402,3397455,145179
"Alexandria, LA",2001,25515,3702272,145102
"Alexandria, LA",2002,26329,3828594,145416
"Alexandria, LA",2003,26531,3873958,146017
"Alexandria, LA",2004,28226,4148459,146973
"Alexandria, LA",2005,30603,4527139,147930
"Alexandria, LA",2006,31622,4779408,151142
"Alexandria, LA",2007,32847,4976499,151506
"Alexandria, LA",2008,34783,5302408,152442
"Alexandria, LA",2009,34326,5257482,153164
"Alexandria, LA",2010,34792,5361291,154096
"Alexandria, LA",2011,36705,5667339,154402
"Alexandria, LA",2012,38363,5923309,154400
"Alexandria, LA",2013,38405,5938294,154623
"Alexandria, LA",2014,39117,6045886,154558
"Alexandria, LA",2015,39982,6160540,154082
"Alexandria, LA",2016,40524,6245761,154124
"Alexandria, LA",2017,41032,6300415,153549
"Alexandria, LA",2018,43015,6570992,152762
"Allentown, PA",2000,30425,22569579,741817
"Allentown, PA",2001,32374,24238713,748705
"Allentown, PA",2002,33055,25010205,756628
"Allentown, PA",2003,33784,25910168,766938
"Allentown, PA",2004,35215,27371525,777277
"Allentown, PA",2005,37208,29310311,787738
"Allentown, PA",2006,38575,30805698,798586
"Allentown, PA",2007,41279,33335736,807578
"Allentown, PA",2008,42338,34465111,814050
"Allentown, PA",2009,40667,33256414,817779
"Allentown, PA",2010,42053,34563981,821923
"Allentown, PA",2011,43461,35852420,824930
"Allentown, PA",2012,44157,36480137,826144
"Allentown, PA",2013,44750,36951573,825731
"Allentown, PA",2014,46503,38526707,828470
"Allentown, PA",2015,48632,40378661,830295
"Allentown, PA",2016,50040,41691305,833163
"Allentown, PA",2017,51411,43078169,837921
"Allentown, PA",2018,53538,45112429,842626
"Altoona, PA",2000,24934,3216044,128981
"Altoona, PA",2001,25341,3255632,128471
"Altoona, PA",2002,26225,3347166,127631
"Altoona, PA",2003,27276,3473739,127353
"Altoona, PA",2004,28663,3645718,127194
"Altoona, PA",2005,29828,3780067,126730
"Altoona, PA",2006,30755,3905991,127002
"Altoona, PA",2007,32217,4093100,127048
"Altoona, PA",2008,33363,4240852,127112
"Altoona, PA",2009,33724,4288406,127161
"Altoona, PA",2010,34941,4439095,127045
"Altoona, PA",2011,36891,4684022,126970
"Altoona, PA",2012,37997,4808282,126544
"Altoona, PA",2013,38099,4794185,125836
"Altoona, PA",2014,39901,4998509,125274
"Altoona, PA",2015,42031,5236887,124596
"Altoona, PA",2016,42943,5312333,123708
"Altoona, PA",2017,44330,5459082,123147
"Altoona, PA",2018,46539,5701223,122503
"Amarillo, TX",2000,23988,5498336,229215
"Amarillo, TX",2001,26189,6032585,230351
"Amarillo, TX",2002,26786,6223104,232326
"Amarillo, TX",2003,27464,6457721,235138
"Amarillo, TX",2004,27578,6551667,237566
"Amarillo, TX",2005,29036,6979629,240380
"Amarillo, TX",2006,30862,7488900,242656
"Amarillo, TX",2007,32738,8007872,244608
"Amarillo, TX",2008,35957,8861933,246458
"Amarillo, TX",2009,34764,8669319,249373
"Amarillo, TX",2010,37405,9450943,252664
"Amarillo, TX",2011,39413,10088683,255975
"Amarillo, TX",2012,40340,10399720,257802
"Amarillo, TX",2013,40645,10522802,258896
"Amarillo, TX",2014,42717,11141029,260812
"Amarillo, TX",2015,43286,11324431,261618
"Amarillo, TX",2016,43257,11376011,262987
"Amarillo, TX",2017,44608,11791320,264331
"Amarillo, TX",2018,46374,12261607,264406
"Ames, IA",2000,26936,2866062,106403
"Ames, IA",2001,27526,2931758,106509
"Ames, IA",2002,28160,3040425,107971
"Ames, IA",2003,29177,3159912,108300
"Ames, IA",2004,30586,3337752,109126
"Ames, IA",2005,31415,3436353,109384
"Ames, IA",2006,33337,3707401,111210
"Ames, IA",2007,34819,3937780,113093
"Ames, IA",2008,36585,4181156,114285
"Ames, IA",2009,34438,3982625,115645
"Ames, IA",2010,34118,3955162,115925
"Ames, IA",2011,36494,4285225,117424
"Ames, IA",2012,40384,4770974,118139
"Ames, IA",2013,38615,4640000,120161
"Ames, IA",2014,39539,4827359,122092
"Ames, IA",2015,40435,4976664,123079
"Ames, IA",2016,40658,5013518,123309
"Ames, IA",2017,41375,5118925,123721
"Ames, IA",2018,43785,5389612,123093
"Anchorage, AK",2000,34069,10923011,320618
"Anchorage, AK",2001,36131,11781498,326081
"Anchorage, AK",2002,37448,12454692,332582
"Anchorage, AK",2003,38476,12994474,337730
"Anchorage, AK",2004,39800,13740870,345245
"Anchorage, AK",2005,41859,14688499,350903
"Anchorage, AK",2006,44107,15821962,358718
"Anchorage, AK",2007,47550,17127351,360194
"Anchorage, AK",2008,51783,18933642,365633
"Anchorage, AK",2009,50452,18897379,374562
"Anchorage, AK",2010,52758,20208961,383053
"Anchorage, AK",2011,55155,21395704,387922
"Anchorage, AK",2012,55931,21920977,391932
"Anchorage, AK",2013,54543,21654641,397022
"Anchorage, AK",2014,57537,22899316,397996
"Anchorage, AK",2015,59719,23804702,398609
"Anchorage, AK",2016,57857,23221930,401368
"Anchorage, AK",2017,58732,23526077,400570
"Anchorage, AK",2018,61825,24583919,397636
"Ann Arbor, MI",2000,36369,11797044,324372
"Ann Arbor, MI",2001,37402,12295744,328749
"Ann Arbor, MI",2002,38290,12741541,332763
"Ann Arbor, MI",2003,39623,13319278,336154
"Ann Arbor, MI",2004,39707,13477336,339422
"Ann Arbor, MI",2005,40147,13739787,342234
"Ann Arbor, MI",2006,41407,14244816,344018
"Ann Arbor, MI",2007,42470,14665401,345310
"Ann Arbor, MI",2008,44419,15173227,341595
"Ann Arbor, MI",2009,41409,14224663,343520
"Ann Arbor, MI",2010,45384,15690064,345717
"Ann Arbor, MI",2011,45054,15757892,349753
"Ann Arbor, MI",2012,47792,16837310,352303
"Ann Arbor, MI",2013,47645,16963525,356040
"Ann Arbor, MI",2014,49562,17843290,360021
"Ann Arbor, MI",2015,52270,18972715,362975
"Ann Arbor, MI",2016,54115,19813370,366135
"Ann Arbor, MI",2017,56312,20768333,368807
"Ann Arbor, MI",2018,58823,21734133,369483
"Anniston, AL",2000,22130,2458198,111081
"Anniston, AL",2001,23205,2581886,111266
"Anniston, AL",2002,24157,2696488,111625
"Anniston, AL",2003,25154,2834971,112705
"Anniston, AL",2004,26565,3014164,113462
"Anniston, AL",2005,27460,3143525,114477
"Anniston, AL",2006,28575,3297240,115388
"Anniston, AL",2007,30090,3496846,116211
"Anniston, AL",2008,30865,3619662,117274
"Anniston, AL",2009,30190,3573396,118363
"Anniston, AL",2010,30927,3661982,118408
"Anniston, AL",2011,31921,3758530,117744
"Anniston, AL",2012,32401,3797108,117190
"Anniston, AL",2013,32028,3730360,116471
"Anniston, AL",2014,33090,3835683,115917
"Anniston, AL",2015,34423,3974840,115469
"Anniston, AL",2016,34920,4014894,114973
"Anniston, AL",2017,35927,4121206,114710
"Anniston, AL",2018,36988,4228930,114331
"Appleton, WI",2000,29953,6068997,202618
"Appleton, WI",2001,31395,6457200,205676
"Appleton, WI",2002,32135,6708097,208747
"Appleton, WI",2003,32593,6888521,211350
"Appleton, WI",2004,33478,7150716,213592
"Appleton, WI",2005,34473,7443643,215925
"Appleton, WI",2006,35865,7834332,218441
"Appleton, WI",2007,37397,8241097,220368
"Appleton, WI",2008,38590,8582588,222402
"Appleton, WI",2009,37504,8424501,224632
"Appleton, WI",2010,38371,8669917,225948
"Appleton, WI",2011,40696,9260407,227548
"Appleton, WI",2012,42252,9661257,228656
"Appleton, WI",2013,42698,9819571,229978
"Appleton, WI",2014,44713,10356656,231627
"Appleton, WI",2015,46383,10813954,233146
"Appleton, WI",2016,47734,11179260,234200
"Appleton, WI",2017,49188,11598983,235811
"Appleton, WI",2018,51042,12097566,237011
"Asheville, NC",2000,26449,9802549,370615
"Asheville, NC",2001,27223,10206175,374904
"Asheville, NC",2002,27183,10324403,379818
"Asheville, NC",2003,27415,10559781,385178
"Asheville, NC",2004,29125,11379433,390713
"Asheville, NC",2005,30419,12058452,396408
"Asheville, NC",2006,32465,13133638,404546
"Asheville, NC",2007,33911,13965943,411842
"Asheville, NC",2008,34367,14346845,417457
"Asheville, NC",2009,32968,13912930,422014
"Asheville, NC",2010,33428,14218227,425338
"Asheville, NC",2011,34630,14825509,428113
"Asheville, NC",2012,36586,15766749,430945
"Asheville, NC",2013,36320,15828039,435795
"Asheville, NC",2014,38521,16936240,439661
"Asheville, NC",2015,40550,18028032,444593
"Asheville, NC",2016,41862,18850941,450310
"Asheville, NC",2017,43474,19774194,454855
"Asheville, NC",2018,45759,21017694,459314
"Athens, GA",2000,23683,3949385,166763
"Athens, GA",2001,24662,4167242,168973
"Athens, GA",2002,25195,4304197,170838
"Athens, GA",2003,26093,4536153,173847
"Athens, GA",2004,26592,4736152,178106
"Athens, GA",2005,27796,4974740,178974
"Athens, GA",2006,28476,5215939,183171
"Athens, GA",2007,29282,5469286,186781
"Athens, GA",2008,29693,5640037,189948
"Athens, GA",2009,29092,5586301,192021
"Athens, GA",2010,29431,5693052,193439
"Athens, GA",2011,30797,5986133,194375
"Athens, GA",2012,32015,6274463,195984
"Athens, GA",2013,32446,6410966,197590
"Athens, GA",2014,34813,6905518,198361
"Athens, GA",2015,36703,7434706,202565
"Athens, GA",2016,37388,7679520,205402
"Athens, GA",2017,39025,8160419,209106
"Athens, GA",2018,40692,8605032,211468
"Atlanta, GA",2000,33960,145805210,4293475
"Atlanta, GA",2001,34911,153691997,4402455
"Atlanta, GA",2002,34983,157050560,4489288
"Atlanta, GA",2003,35441,162053533,4572541
"Atlanta, GA",2004,36844,171675804,4659574
"Atlanta, GA",2005,38488,183620829,4770870
"Atlanta, GA",2006,40205,198286961,4931848
"Atlanta, GA",2007,40921,207321580,5066356
"Atlanta, GA",2008,39755,205537728,5170099
"Atlanta, GA",2009,38057,199448720,5240828
"Atlanta, GA",2010,38380,203513558,5302598
"Atlanta, GA",2011,40823,219075355,5366462
"Atlanta, GA",2012,41628,226640964,5444473
"Atlanta, GA",2013,41810,230395527,5510530
"Atlanta, GA",2014,44744,250262945,5593204
"Atlanta, GA",2015,46859,266444291,5686048
"Atlanta, GA",2016,48272,279395622,5787965
"Atlanta, GA",2017,50680,297613678,5872432
"Atlanta, GA",2018,53188,316220617,5945303
"Atlantic City, NJ",2000,31607,8017788,253674
"Atlantic City, NJ",2001,29273,7486313,255737
"Atlantic City, NJ",2002,29999,7777607,259263
"Atlantic City, NJ",2003,30757,8097928,263285
"Atlantic City, NJ",2004,32310,8650156,267723
"Atlantic City, NJ",2005,33764,9127596,270332
"Atlantic City, NJ",2006,36766,9991576,271759
"Atlantic City, NJ",2007,38359,10445372,272303
"Atlantic City, NJ",2008,39333,10738345,273014
"Atlantic City, NJ",2009,38386,10519573,274049
"Atlantic City, NJ",2010,38989,10708168,274648
"Atlantic City, NJ",2011,40821,11210439,274621
"Atlantic City, NJ",2012,41831,11488052,274629
"Atlantic City, NJ",2013,42459,11647180,274314
"Atlantic City, NJ",2014,43636,11894228,272578
"Atlantic City, NJ",2015,44423,12000996,270153
"Atlantic City, NJ",2016,45406,12133315,267217
"Atlantic City, NJ",2017,46796,12424234,265498
"Atlantic City, NJ",2018,48548,12816209,263989
"Auburn, AL",2000,21023,2426741,115430
"Auburn, AL",2001,21374,2496907,116819
"Auburn, AL",2002,22117,2618477,118392
"Auburn, AL",2003,23284,2795736,120071
"Auburn, AL",2004,24946,3050305,122274
"Auburn, AL",2005,25721,3244253,126133
"Auburn, AL",2006,27057,3497039,129247
"Auburn, AL",2007,28278,3730858,131934
"Auburn, AL",2008,29558,3976256,134524
"Auburn, AL",2009,28574,3959421,138566
"Auburn, AL",2010,29344,4131431,140794
"Auburn, AL",2011,30784,4436858,144130
"Auburn, AL",2012,31867,4734318,148567
"Auburn, AL",2013,31909,4844011,151809
"Auburn, AL",2014,33176,5126011,154511
"Auburn, AL",2015,34507,5415988,156954
"Auburn, AL",2016,35938,5720244,159168
"Auburn, AL",2017,36845,5948184,161440
"Auburn, AL",2018,38378,6280809,163656
"Augusta, GA",2000,24673,12555987,508896
"Augusta, GA",2001,25236,12936519,512626
"Augusta, GA",2002,26141,13509927,516818
"Augusta, GA",2003,27196,14145281,520120
"Augusta, GA",2004,28300,14907980,526789
"Augusta, GA",2005,29162,15493330,531294
"Augusta, GA",2006,30317,16329989,538643
"Augusta, GA",2007,31354,17104390,545524
"Augusta, GA",2008,32244,17818750,552627
"Augusta, GA",2009,32286,18018523,558096
"Augusta, GA",2010,33056,18732472,566694
"Augusta, GA",2011,34786,19857321,570849
"Augusta, GA",2012,34899,20109207,576206
"Augusta, GA",2013,34986,20285240,579802
"Augusta, GA",2014,36543,21306042,583046
"Augusta, GA",2015,38389,22633236,589574
"Augusta, GA",2016,39090,23259479,595029
"Augusta, GA",2017,40646,24398910,600276
"Augusta, GA",2018,42075,25422701,604221
"Austin, TX",2000,33033,41785194,1264950
"Austin, TX",2001,35031,46287123,1321316
"Austin, TX",2002,34095,45954032,1347822
"Austin, TX",2003,33893,46637119,1376030
"Austin, TX",2004,33797,47656359,1410058
"Austin, TX",2005,36016,52344576,1453358
"Austin, TX",2006,38730,58694122,1515485
"Austin, TX",2007,39674,62599379,1577856
"Austin, TX",2008,41509,67819889,1633870
"Austin, TX",2009,39162,65884392,1682338
"Austin, TX",2010,40727,70355303,1727502
"Austin, TX",2011,43741,77881693,1780535
"Austin, TX",2012,46679,85635903,1834586
"Austin, TX",2013,47233,88954305,1883315
"Austin, TX",2014,50029,97179427,1942467
"Austin, TX",2015,51484,103077251,2002134
"Austin, TX",2016,52403,108054841,2062016
"Austin, TX",2017,56087,118651329,2115475
"Austin, TX",2018,59638,129146253,2165497
"Bakersfield, CA",2000,21459,14244286,663803
"Bakersfield, CA",2001,22557,15261795,676574
"Bakersfield, CA",2002,23356,16210220,694059
"Bakersfield, CA",2003,24293,17352019,714272
"Bakersfield, CA",2004,25433,18726154,736296
"Bakersfield, CA",2005,26522,20176085,760726
"Bakersfield, CA",2006,27734,21757840,784511
"Bakersfield, CA",2007,29175,23435629,803281
"Bakersfield, CA",2008,29524,24160612,818327
"Bakersfield, CA",2009,28915,24003563,830137
"Bakersfield, CA",2010,31031,26097169,840996
"Bakersfield, CA",2011,32717,27742981,847970
"Bakersfield, CA",2012,34522,29468514,853606
"Bakersfield, CA",2013,35281,30412531,862000
"Bakersfield, CA",2014,37407,32513120,869176
"Bakersfield, CA",2015,38051,33334249,876031
"Bakersfield, CA",2016,37789,33286588,880856
"Bakersfield, CA",2017,38388,34063749,887356
"Bakersfield, CA",2018,39794,35566558,893758
"Baltimore, MD",2000,34644,88618199,2557958
"Baltimore, MD",2001,35939,92560218,2575471
"Baltimore, MD",2002,37052,96206347,2596501
"Baltimore, MD",2003,38291,100100963,2614232
"Baltimore, MD",2004,40308,106048601,2630946
"Baltimore, MD",2005,42413,112150514,2644231
"Baltimore, MD",2006,44862,119250613,2658162
"Baltimore, MD",2007,46826,124913017,2667619
"Baltimore, MD",2008,48331,129517393,2679819
"Baltimore, MD",2009,47558,128216434,2696018
"Baltimore, MD",2010,48716,132299439,2715738
"Baltimore, MD",2011,50995,139408288,2733785
"Baltimore, MD",2012,52171,143713198,2754637
"Baltimore, MD",2013,52214,144540375,2768233
"Baltimore, MD",2014,54240,150789783,2780055
"Baltimore, MD",2015,56247,156931804,2790053
"Baltimore, MD",2016,57931,161864493,2794111
"Baltimore, MD",2017,59774,167288930,2798707
"Baltimore, MD",2018,62013,173683854,2800743
"Bangor, ME",2000,24972,3619362,144937
"Bangor, ME",2001,25768,3764976,146110
"Bangor, ME",2002,26707,3933874,147298
"Bangor, ME",2003,27317,4063672,148759
"Bangor, ME",2004,28360,4220397,148814
"Bangor, ME",2005,29325,4390723,149726
"Bangor, ME",2006,30116,4560894,151446
"Bangor, ME",2007,31098,4734057,152232
"Bangor, ME",2008,32470,4979937,153372
"Bangor, ME",2009,33270,5115954,153770
"Bangor, ME",2010,33370,5134339,153861
"Bangor, ME",2011,34640,5326232,153759
"Bangor, ME",2012,35136,5387976,153347
"Bangor, ME",2013,35182,5390675,153222
"Bangor, ME",2014,36430,5581170,153201
"Bangor, ME",2015,37889,5756406,151929
"Bangor, ME",2016,38752,5864423,151333
"Bangor, ME",2017,39791,6034142,151645
"Bangor, ME",2018,41615,6317871,151817
"Barnstable Town, MA",2000,36487,8137835,223031
"Barnstable Town, MA",2001,39904,8941917,224087
"Barnstable Town, MA",2002,40042,9026209,225421
"Barnstable Town, MA",2003,41311,9336749,226011
"Barnstable Town, MA",2004,44571,9995700,224264
"Barnstable Town, MA",2005,45135,10019742,221995
"Barnstable Town, MA",2006,47404,10430717,220037
"Barnstable Town, MA",2007,48843,10666425,218380
"Barnstable Town, MA",2008,50354,10930166,217066
"Barnstable Town, MA",2009,50502,10908145,215994
"Barnstable Town, MA",2010,52395,11312044,215899
"Barnstable Town, MA",2011,55266,11901890,215356
"Barnstable Town, MA",2012,58176,12495574,214788
"Barnstable Town, MA",2013,59053,12667996,214518
"Barnstable Town, MA",2014,62087,13304509,214289
"Barnstable Town, MA",2015,65467,14001940,213877
"Barnstable Town, MA",2016,68267,14579039,213559
"Barnstable Town, MA",2017,71080,15181333,213581
"Barnstable Town, MA",2018,74714,15949290,213471
"Baton Rouge, LA",2000,24954,18239434,730913
"Baton Rouge, LA",2001,25973,19062236,733925
"Baton Rouge, LA",2002,26665,19694214,738589
"Baton Rouge, LA",2003,27449,20464132,745536
"Baton Rouge, LA",2004,29237,22017831,753093
"Baton Rouge, LA",2005,31681,24036762,758706
"Baton Rouge, LA",2006,33178,26390676,795417
"Baton Rouge, LA",2007,35510,28526821,803339
"Baton Rouge, LA",2008,37635,30533652,811301
"Baton Rouge, LA",2009,37028,30340891,819405
"Baton Rouge, LA",2010,37804,31287421,827629
"Baton Rouge, LA",2011,39895,33172504,831493
"Baton Rouge, LA",2012,41134,34395833,836197
"Baton Rouge, LA",2013,41628,35050425,841986
"Baton Rouge, LA",2014,42965,36384121,846827
"Baton Rouge, LA",2015,43691,37188072,851167
"Baton Rouge, LA",2016,44372,38014545,856723
"Baton Rouge, LA",2017,45853,39172207,854295
"Baton Rouge, LA",2018,48159,41153342,854526
"Battle Creek, MI",2000,25253,3485199,138014
"Battle Creek, MI",2001,25839,3569859,138158
"Battle Creek, MI",2002,26660,3694596,138580
"Battle Creek, MI",2003,27174,3776090,138962
"Battle Creek, MI",2004,27772,3872604,139443
"Battle Creek, MI",2005,28488,3958299,138946
"Battle Creek, MI",2006,29038,4015672,138291
"Battle Creek, MI",2007,30082,4138770,137582
"Battle Creek, MI",2008,31387,4309831,137313
"Battle Creek, MI",2009,31003,4225773,136301
"Battle Creek, MI",2010,31904,4337337,135951
"Battle Creek, MI",2011,32914,4446794,135105
"Battle Creek, MI",2012,33886,4565662,134737
"Battle Creek, MI",2013,34137,4600038,134751
"Battle Creek, MI",2014,35120,4734379,134804
"Battle Creek, MI",2015,37000,4970151,134327
"Battle Creek, MI",2016,37703,5065180,134344
"Battle Creek, MI",2017,38408,5153616,134180
"Battle Creek, MI",2018,39160,5249396,134049
"Bay City, MI",2000,26570,2927851,110192
"Bay City, MI",2001,27174,2984729,109836
"Bay City, MI",2002,27069,2973868,109861
"Bay City, MI",2003,27757,3040997,109559
"Bay City, MI",2004,28367,3104842,109453
"Bay City, MI",2005,28733,3136649,109165
"Bay City, MI",2006,29845,3244442,108711
"Bay City, MI",2007,30909,3342207,108132
"Bay City, MI",2008,32188,3486594,108320
"Bay City, MI",2009,31984,3451493,107913
"Bay City, MI",2010,33353,3591408,107679
"Bay City, MI",2011,34579,3714333,107417
"Bay City, MI",2012,35192,3764382,106967
"Bay City, MI",2013,35287,3768444,106794
"Bay City, MI",2014,36620,3883372,106046
"Bay City, MI",2015,38466,4048099,105237
"Bay City, MI",2016,39366,4110220,104411
"Bay City, MI",2017,40130,4175285,104045
"Bay City, MI",2018,42367,4393535,103702
"Beaumont, TX",2000,23709,9122408,384759
"Beaumont, TX",2001,24757,9474613,382708
"Beaumont, TX",2002,25154,9634078,383004
"Beaumont, TX",2003,26120,10009459,383208
"Beaumont, TX",2004,26458,10171481,384438
"Beaumont, TX",2005,28041,10809511,385490
"Beaumont, TX",2006,30482,11556355,379119
"Beaumont, TX",2007,31839,12173046,382330
"Beaumont, TX",2008,33983,13091885,385248
"Beaumont, TX",2009,33572,12997381,387146
"Beaumont, TX",2010,35082,13655532,389251
"Beaumont, TX",2011,36498,14267076,390905
"Beaumont, TX",2012,38432,14973569,389614
"Beaumont, TX",2013,37467,14656804,391195
"Beaumont, TX",2014,40607,15903939,391651
"Beaumont, TX",2015,41754,16485366,394825
"Beaumont, TX",2016,41589,16491469,396539
"Beaumont, TX",2017,42747,17018856,398129
"Beaumont, TX",2018,44138,17382152,393815
"Beckley, WV",2000,20828,2635309,126525
"Beckley, WV",2001,22493,2818716,125318
"Beckley, WV",2002,23228,2919090,125672
"Beckley, WV",2003,23270,2920825,125519
"Beckley, WV",2004,23958,2998233,125145
"Beckley, WV",2005,25262,3146912,124570
"Beckley, WV",2006,26898,3345516,124378
"Beckley, WV",2007,26738,3330674,124566
"Beckley, WV",2008,28569,3558327,124550
"Beckley, WV",2009,29375,3666513,124816
"Beckley, WV",2010,30662,3831216,124949
"Beckley, WV",2011,33570,4205227,125266
"Beckley, WV",2012,34156,4273243,125110
"Beckley, WV",2013,33515,4167737,124356
"Beckley, WV",2014,34305,4231288,123342
"Beckley, WV",2015,35235,4301190,122070
"Beckley, WV",2016,34369,4140593,120475
"Beckley, WV",2017,36847,4372759,118673
"Beckley, WV",2018,39312,4605556,117154
"Bellingham, WA",2000,25008,4193722,167696
"Bellingham, WA",2001,26399,4518844,171172
"Bellingham, WA",2002,26257,4592391,174904
"Bellingham, WA",2003,27823,4948278,177851
"Bellingham, WA",2004,29471,5356477,181756
"Bellingham, WA",2005,30752,5703008,185450
"Bellingham, WA",2006,32717,6181036,188926
"Bellingham, WA",2007,35146,6777392,192837
"Bellingham, WA",2008,36885,7255663,196708
"Bellingham, WA",2009,35669,7129058,199865
"Bellingham, WA",2010,36787,7414196,201545
"Bellingham, WA",2011,38418,7817746,203490
"Bellingham, WA",2012,40558,8308744,204863
"Bellingham, WA",2013,40411,8327605,206073
"Bellingham, WA",2014,42153,8774297,208154
"Bellingham, WA",2015,43939,9307821,211836
"Bellingham, WA",2016,44926,9722678,216417
"Bellingham, WA",2017,46452,10284959,221410
"Bellingham, WA",2018,49464,11139242,225197
"Bend, OR",2000,27792,3239605,116566
"Bend, OR",2001,29201,3519435,120526
"Bend, OR",2002,29123,3647552,125247
"Bend, OR",2003,29962,3867974,129094
"Bend, OR",2004,31235,4177852,133756
"Bend, OR",2005,33218,4669326,140567
"Bend, OR",2006,36097,5347666,148149
"Bend, OR",2007,37161,5672059,152633
