city_merge_name,population,year,violent_crime,property_crime,rev_total,police,education_services,education,educ_higher,educ_elem_sec,social_services,public_welfare,welfare_cash,welfare_vendors,welfare_other,correction,parks_recreation,housing_commdevt,per_capita_personal_income_dollars,personal_income_thousands_of_dollars,population_persons,total_estimate_educational_attainment_population_25_years_and_over,percent_below_poverty_level_estimate_age_65_years_and_over,"percent_below_poverty_level_estimate_worked_full-time,_year-round_in_the_past_12_months",total_estimate_age_18_to_64_years,total_estimate_employment_status_civilian_labor_force_16_years_and_over,total_estimate_population_for_whom_poverty_status_is_determined,percent_below_poverty_level_estimate_age_under_18_years,percent_below_poverty_level_estimate_population_for_whom_poverty_status_is_determined,total_estimate_sex_female,total_estimate_work_experience_population_16_years_and_over,total_estimate_mean_income_deficit_for_unrelated_individuals_(dollars),total_estimate_age_under_18_years,total_estimate_sex_male,total_estimate_age_65_years_and_over,percent_below_poverty_level_estimate_age_18_to_64_years,percent_race_one_race_asian,percent_race_one_race_black_or_african_american,percent_race_one_race_native_hawaiian_and_other_pacific_islander,percent_race_one_race_white,percent_hispanic_or_latino
"Montgomery, AL",372085.0,2015.0,0.004007,0.034269,5316.69,297.31,1342.03,1327.78,0.0,1327.78,1586.19,17.47,0.0,0.0,17.47,118.5,174.2,157.44,39841.0,14875366.0,373365.0,241623.0,10.3,5.0,224094.0,169885.0,363969.0,29.4,19.6,191973.0,284706.0,6199.0,89387.0,171996.0,50488.0,17.8,1.5,44.3,0.0,51.4,2.8
"Montgomery, AL",372661.0,2016.0,0.004717,0.03555,5305.47,288.02,1396.56,1381.0,0.0,1381.0,1683.12,4.83,0.46,0.17,4.2,93.62,141.99,152.62,40869.0,15279590.0,373865.0,244645.0,7.6,4.4,224133.0,175288.0,363010.0,28.4,17.5,192065.0,285493.0,6364.0,86501.0,170945.0,52376.0,15.6,1.8,45.3,0.0,49.7,2.6
"Montgomery, AL",373522.0,2017.0,0.004854,0.035318,5467.05,280.76,1375.48,1360.19,0.0,1360.19,1780.93,7.45,0.0,0.0,7.45,89.31,143.32,151.93,42095.0,15751012.0,374174.0,242243.0,9.1,3.4,220530.0,168035.0,360836.0,30.4,18.8,192023.0,285026.0,6764.0,86302.0,168813.0,54004.0,16.6,2.1,45.0,0.0,50.3,3.0
"Ft. Smith, AR",296159.0,2010.0,0.00419,0.030129,4550.86,212.87,2140.56,2092.85,0.0,2092.85,2.53,0.29,0.0,0.0,0.29,83.02,80.27,129.22,29787.0,7397525.0,248344.0,193847.0,8.6,4.9,181095.0,137776.0,297546.0,29.3,18.9,150948.0,229929.0,6176.0,76037.0,146598.0,40414.0,16.8,2.3,3.8,0.0,82.1,7.8
"Ft. Smith, AR",301142.0,2011.0,0.004174,0.02797,4350.13,223.74,2029.49,1988.26,0.0,1988.26,10.38,0.3,0.0,0.0,0.3,61.12,53.93,129.96,31731.0,7908546.0,249236.0,194493.0,8.8,7.3,179898.0,133529.0,294591.0,30.4,20.5,148819.0,229472.0,5204.0,73685.0,145772.0,41008.0,19.1,2.2,3.4,0.1,81.9,8.6
"Ft. Smith, AR",283329.0,2012.0,0.004098,0.0299119999999999,4248.26,228.6,1952.23,1913.92,0.0,1913.92,9.53,3.14,0.0,0.0,3.14,67.37,48.55,124.15,32974.0,8226669.0,249491.0,195784.0,12.5,3.3,177638.0,130706.0,292035.0,34.4,22.6,147700.0,228201.0,6463.0,71479.0,144335.0,42918.0,20.3,2.4,3.5,0.1,81.4,8.6
"Ft. Smith, AR",280934.0,2013.0,0.003994,0.031107,4169.63,219.68,1876.56,1837.37,0.0,1837.37,5.9,3.54,0.0,0.0,3.54,71.47,49.36,105.4,33043.0,8213436.0,248569.0,182396.0,16.6,1.9,167901.0,120733.0,275581.0,35.1,23.8,140605.0,215484.0,6725.0,67638.0,134976.0,40042.0,21.0,2.5,3.7,0.1,81.2,9.2
"Ft. Smith, AR",279713.0,2014.0,0.004247,0.031035,4432.31,220.68,1967.0,1926.1,0.0,1926.1,5.27,3.32,0.0,0.0,3.32,69.02,54.37,112.28,34517.0,8567881.0,248220.0,183342.0,12.5,5.8,166542.0,124639.0,274602.0,34.2,23.4,138533.0,215940.0,6191.0,66503.0,136069.0,41557.0,21.8,2.2,4.5,0.0,80.2,9.3
"Ft. Smith, AR",279361.0,2015.0,0.00446,0.03377,4399.63,227.24,1982.54,1941.24,0.0,1941.24,5.51,3.47,0.0,0.0,3.47,67.89,80.43,143.25,35448.0,8820118.0,248820.0,185175.0,12.2,5.6,165982.0,119899.0,274829.0,27.5,20.5,139193.0,217281.0,6186.0,66031.0,135636.0,42816.0,19.8,2.5,4.4,0.1,78.4,8.9
"Ft. Smith, AR",279567.0,2016.0,0.004976,0.034439,4545.83,222.29,1921.72,1878.56,0.0,1878.56,19.07,3.2,0.0,0.0,3.2,60.86,74.74,148.04,35687.0,8892102.0,249170.0,187304.0,8.7,7.5,166121.0,124278.0,276882.0,24.9,18.2,141495.0,217603.0,6514.0,66788.0,135387.0,43973.0,18.0,2.5,4.0,0.0,75.1,9.8
"Ft. Smith, AR",281048.0,2017.0,0.005063,0.029493,4747.42,207.73,1940.98,1901.3,0.0,1901.3,16.6,3.57,0.0,0.0,3.57,64.09,52.73,138.31,36381.0,9103592.0,250231.0,186945.0,11.6,6.3,166374.0,123863.0,277601.0,33.7,20.6,140900.0,219420.0,6585.0,66606.0,136701.0,44621.0,17.8,2.5,3.7,0.0,75.7,10.1
"Little Rock, AR",693930.0,2010.0,0.007558,0.049344,4498.93,365.62,2052.12,1961.33,0.0,1961.33,105.42,0.0,0.0,0.0,0.0,61.61,208.4,169.92,36858.0,25885178.0,702294.0,451585.0,5.9,4.6,435222.0,352043.0,684230.0,21.1,15.2,352001.0,535991.0,6415.0,166399.0,332229.0,82609.0,14.7,1.4,22.7,0.0,73.7,4.8
"Little Rock, AR",705050.0,2011.0,0.00746,0.051842,4696.62,331.08,2183.76,2067.17,0.0,2067.17,118.47,0.0,0.0,0.0,0.0,62.47,212.11,170.54,38214.0,27158355.0,710682.0,461170.0,8.9,5.9,440251.0,357531.0,695720.0,18.8,14.7,357439.0,542874.0,6108.0,169835.0,338281.0,85634.0,14.3,1.4,22.6,0.0,72.5,4.9
"Little Rock, AR",712592.0,2012.0,0.00665,0.0515039999999999,4756.53,329.63,1948.0,1854.32,0.0,1854.32,117.15,0.0,0.0,0.0,0.0,66.95,221.93,168.72,40456.0,29033933.0,717665.0,463990.0,8.0,4.0,443744.0,355460.0,702794.0,20.8,15.1,360422.0,549277.0,6934.0,170562.0,342372.0,88488.0,14.3,1.7,22.9,0.0,72.9,5.0
"Little Rock, AR",723132.0,2013.0,0.006757,0.048916,4813.39,400.78,1968.8,1835.45,0.0,1835.45,127.82,0.0,0.0,0.0,0.0,71.93,211.41,172.24,39633.0,28661039.0,723159.0,472152.0,6.6,4.3,443299.0,361582.0,711357.0,22.0,15.2,364238.0,557443.0,6651.0,173532.0,347119.0,94526.0,14.3,1.4,22.6,0.0,72.0,4.9
"Little Rock, AR",729360.0,2014.0,0.006964,0.0438519999999999,4777.35,405.14,1939.97,1804.88,0.0,1804.88,123.26,0.0,0.0,0.0,0.0,68.65,220.17,132.1,41135.0,29954103.0,728190.0,475533.0,5.8,4.2,445228.0,357187.0,714960.0,19.1,14.0,370316.0,561812.0,6440.0,174390.0,344644.0,95342.0,13.8,1.4,23.0,0.0,72.4,5.0
"Little Rock, AR",736010.0,2015.0,0.007247,0.041255,4599.33,449.94,1856.9,1757.83,0.0,1757.83,124.87,0.0,0.0,0.0,0.0,67.94,218.07,145.82,42433.0,31013896.0,730889.0,480218.0,8.9,7.4,444997.0,350279.0,715353.0,23.7,17.0,369766.0,563752.0,6830.0,169920.0,345587.0,100436.0,16.2,1.8,23.3,0.1,71.5,5.1
"Little Rock, AR",741067.0,2017.0,0.007986,0.0408819999999999,4631.25,388.01,1874.8,1757.67,0.0,1757.67,191.19,0.0,0.0,0.0,0.0,71.74,228.52,157.14,44042.0,32483575.0,737557.0,487199.0,10.7,4.9,445822.0,361793.0,724495.0,15.7,13.0,373978.0,570105.0,6897.0,172596.0,350517.0,106077.0,12.5,1.7,23.6,0.1,70.1,5.3
"Phoenix, AZ",4229275.0,2010.0,0.003708,0.035346,6100.19,410.58,1616.62,1581.71,0.0,1581.71,226.81,7.29,2.43,0.0,4.87,110.19,164.73,113.72,34959.0,146975844.0,4204204.0,2645478.0,7.2,2.5,2526932.0,2036986.0,4133191.0,22.7,16.3,2092542.0,3156141.0,6968.0,1095687.0,2040649.0,510572.0,15.3,3.2,5.1,0.2,80.5,29.6
"Phoenix, AZ",4252245.0,2011.0,0.003798,0.036565,5891.85,391.97,1543.81,1509.84,0.0,1509.84,195.8,7.02,3.23,0.0,3.79,106.73,182.61,129.62,36440.0,154981301.0,4253037.0,2697892.0,8.4,2.6,2562376.0,2060993.0,4184140.0,24.9,17.4,2115679.0,3216205.0,7533.0,1089338.0,2068461.0,532426.0,16.0,3.3,5.0,0.2,81.1,29.9
"Phoenix, AZ",4571032.0,2015.0,0.003884,0.028242,5066.11,328.86,1346.33,1319.9,0.0,1319.9,219.23,4.93,1.5,0.0,3.43,116.39,103.62,87.53,41538.0,190181102.0,4578519.0,2976805.0,8.7,4.1,2719986.0,2194731.0,4494394.0,23.0,16.2,2281229.0,3512144.0,7374.0,1110806.0,2213165.0,663602.0,15.3,3.8,5.4,0.2,78.1,30.4
"Phoenix, AZ",4662302.0,2016.0,0.0042689999999999,0.028701,5022.39,319.75,1309.17,1283.66,0.0,1283.66,225.64,5.34,1.07,0.0,4.27,112.52,102.48,95.17,42635.0,199246775.0,4673336.0,3048745.0,8.5,3.8,2762037.0,2265081.0,4577422.0,21.8,15.0,2319061.0,3585266.0,7555.0,1118386.0,2258361.0,696999.0,13.9,3.8,5.3,0.2,76.5,30.6
"Phoenix, AZ",4737604.0,2017.0,0.004706,0.028153,5250.83,308.96,1316.19,1290.53,0.0,1290.53,180.43,3.66,1.05,0.0,2.6,108.11,103.94,85.33,44327.0,210943307.0,4758748.0,3117263.0,8.4,2.8,2811377.0,2328040.0,4652439.0,18.8,13.3,2358504.0,3660838.0,7954.0,1123148.0,2293935.0,717914.0,12.4,3.9,5.3,0.2,78.0,31.0
"Tucson, AZ",999664.0,2013.0,0.004335,0.048493,4477.58,356.01,1257.54,1220.85,0.0,1220.85,145.49,66.59,0.0,5.66,60.94,49.11,122.87,254.46,36758.0,36652520.0,997127.0,644635.0,8.3,3.9,587257.0,470054.0,970384.0,26.7,19.5,496581.0,780410.0,7143.0,214501.0,473803.0,168626.0,20.0,2.5,3.4,0.2,77.8,35.7
"Tucson, AZ",1012244.0,2015.0,0.004214,0.047485,4520.9,332.28,1004.15,970.28,0.0,970.28,131.32,60.73,0.0,2.66,58.07,53.63,130.9,262.37,39071.0,39426771.0,1009103.0,656103.0,8.8,2.9,583683.0,464431.0,981340.0,28.3,18.9,503931.0,792779.0,7023.0,214046.0,477409.0,183611.0,18.6,2.9,3.6,0.1,76.9,36.4
"Tucson, AZ",1017936.0,2016.0,0.004964,0.042667,4310.87,404.98,1020.3,984.0,0.0,984.0,124.78,59.91,0.0,2.42,57.49,54.73,131.99,121.1,40052.0,40721611.0,1016707.0,663793.0,8.6,3.4,582116.0,471112.0,987885.0,27.2,18.4,507800.0,797679.0,6806.0,214237.0,480085.0,191532.0,18.3,2.8,3.4,0.2,76.2,36.8
"Tucson, AZ",1021012.0,2017.0,0.00499,0.039282,4297.54,535.49,1044.28,1006.07,0.0,1006.07,126.01,56.54,0.0,0.71,55.83,0.0,98.79,140.67,42245.0,43359677.0,1026391.0,669885.0,8.9,4.3,586603.0,471163.0,992023.0,22.4,16.7,511494.0,805407.0,7369.0,211470.0,480529.0,193950.0,17.2,2.9,3.5,0.2,76.2,37.3
"Bakersfield, CA",822752.0,2010.0,0.00593,0.037131,6911.18,329.94,2173.99,2162.95,0.0,2162.95,1168.1,567.22,260.1,2.26,304.86,174.03,150.56,125.4,31031.0,26097169.0,840996.0,469652.0,8.5,2.1,483845.0,363588.0,809688.0,30.5,21.2,402930.0,588401.0,6584.0,251900.0,406758.0,73943.0,18.4,3.9,5.6,0.1,71.7,49.3
"Bakersfield, CA",849502.0,2011.0,0.005235,0.035398,6901.89,322.73,2106.33,2095.86,0.0,2095.86,1105.13,519.74,263.87,1.49,254.37,171.59,159.03,111.53,32717.0,27742981.0,847970.0,476405.0,9.2,2.7,492158.0,372764.0,819955.0,35.3,24.5,409586.0,597067.0,6707.0,251666.0,410369.0,76131.0,21.4,4.3,5.9,0.1,75.5,50.0
"Bakersfield, CA",859608.0,2012.0,0.005789,0.040438,6007.74,327.95,2098.33,2089.15,0.0,2089.15,1084.99,477.42,240.55,0.0,236.88,169.48,120.86,89.26,34522.0,29468514.0,853606.0,481671.0,13.4,3.5,494039.0,372085.0,825020.0,34.1,23.8,412743.0,600182.0,5932.0,251968.0,412277.0,79013.0,20.3,4.7,5.5,0.2,71.5,50.3
