City,Year,"Total Revenue","Individual Income Tax","Education Services Expenditure","Social Services and Income Maintenance Expenditure","Transportation Expenditure","Police Protection Expenditure","Environment and Housing Expenditure","Total Expenditures","Intergovernmental Expenditures","Current Operations","Assistance and Subsidies","Census ID - City","City Population"
"AL: Birmingham",2014,"6,886",386,"1,372",189,443,492,810,"6,521",1,"4,761",0,12037003,211230
"AL: Birmingham (City)",2014,"3,896",386,72,0,336,448,160,"3,485",0,"2,387",0,12037003
"AL: Birmingham (County)",2014,"1,102",0,0,120,30,44,121,898,0,547,0
"AL: Birmingham",2015,"6,354",397,"1,375",151,357,497,843,"6,467",1,"4,666",0,12037003,211109
"AL: Birmingham (City)",2015,"3,427",397,71,0,293,444,160,"3,542",0,"2,335",0,12037003
"AL: Birmingham (County)",2015,"1,085",0,0,86,24,53,122,888,0,493,0
"AL: Birmingham",2016,"6,126",409,"1,367",137,461,519,855,"6,627",1,"4,766",0,12037003,211703
"AL: Birmingham (City)",2016,"3,308",409,72,0,385,467,172,"3,811",0,"2,482",0,12037003
"AL: Birmingham (County)",2016,947,0,0,74,42,52,134,801,0,450,0
"AL: Birmingham",2017,"6,671",425,"1,347",135,465,527,877,"6,684",1,"4,740",0,12037003,211436
"AL: Birmingham (City)",2017,"3,656",425,69,0,393,466,188,"3,892",0,"2,452",0,12037003
"AL: Birmingham (County)",2017,"1,142",0,0,71,43,61,148,801,0,459,0
"AL: Gadsden",2010,"4,127",395,"1,570",60,193,408,565,"4,101",0,"3,793",0,12028003,36964
"AL: Gadsden (City)",2010,"2,005",395,45,0,107,267,364,"1,879",0,"1,719",0,12028003
"AL: Gadsden (County)",2010,401,0,0,8,86,141,1,408,0,337,0
"AL: Gadsden",2011,"4,206",388,"1,457",60,194,401,590,"3,989",0,"3,747",0,12028003,36880
"AL: Gadsden (City)",2011,"2,083",388,39,0,109,256,377,"1,872",0,"1,730",0,12028003
"AL: Gadsden (County)",2011,409,0,0,8,85,145,3,403,0,357,0
"AL: Gadsden",2012,"4,127",388,"1,390",59,180,435,602,"3,982",0,"3,746",0,12028003,36732
"AL: Gadsden (City)",2012,"2,104",388,40,0,110,285,378,"1,906",0,"1,746",0,12028003
"AL: Gadsden (County)",2012,404,0,0,8,70,150,1,408,0,370,0
