newidx,aggravated_assault,burglary,city,counties_principal_cities,forcible_rape,index,larceny_theft,main_city,motor_vehicle_theft,murder_and_nonnegligent_manslaughter,population,property_crime,rape1,robbery,state,violent_crime,year
"Abilene, TX",394,1340.0,Abilene,City of Abilene,68,"Abilene, TX M.S.A.",3375.0,Abilene,182.0,4,116938,4897,,112.0,TX,578,2010
"Akron, OH",882,4247.0,Akron,City of Akron,159,"Akron, OH M.S.A.",5855.0,Akron,749.0,22,205760,10851,,602.0,OH,1665,2010
"Albany, GA",480,1629.0,Albany,City of Albany,28,"Albany, GA M.S.A.",3108.0,Albany,300.0,11,73034,5037,,203.0,GA,722,2010
"Albany, NY",621,926.0,Albany-Schenectady-Troy,City of Albany,42,"Albany-Schenectady-Troy, NY M.S.A.",3488.0,Albany,229.0,2,92713,4643,,316.0,NY,981,2010
"Schenectady, NY",362,856.0,Albany-Schenectady-Troy,City of Schenectady,53,"Albany-Schenectady-Troy, NY M.S.A.",2347.0,Schenectady,184.0,8,60751,3387,,256.0,NY,679,2010
"Troy, NY",262,656.0,Albany-Schenectady-Troy,City of Troy,22,"Albany-Schenectady-Troy, NY M.S.A.",1551.0,Troy,145.0,2,46861,2352,,137.0,NY,423,2010
"Albuquerque, NM",2971,5465.0,Albuquerque,City of Albuquerque,338,"Albuquerque, NM M.S.A.",18134.0,Albuquerque,2773.0,42,545389,26372,,940.0,NM,4291,2010
"Alexandria, LA",393,943.0,Alexandria,City of Alexandria,11,"Alexandria, LA M.S.A.",2714.0,Alexandria,130.0,4,49283,3787,,184.0,LA,592,2010
"Allentown, PA",196,1327.0,Allentown-Bethlehem-Easton,"City of Allentown, PA",67,"Allentown-Bethlehem-Easton, PA-NJ M.S.A.",3345.0,Allentown PA,417.0,9,108473,5089,,460.0,PA,732,2010
"Bethlehem, PA",106,445.0,Allentown-Bethlehem-Easton,"City of Bethlehem, PA",18,"Allentown-Bethlehem-Easton, PA-NJ M.S.A.",1522.0,Bethlehem PA,102.0,0,73634,2069,,110.0,PA,234,2010
"Altoona, PA",87,294.0,Altoona,City of Altoona,29,"Altoona, PA M.S.A.",616.0,Altoona,37.0,0,46213,947,,51.0,PA,167,2010
"Amarillo, TX",845,2590.0,Amarillo,City of Amarillo,91,"Amarillo, TX M.S.A.",7827.0,Amarillo,647.0,10,190393,11064,,238.0,TX,1184,2010
"Ames, IA",142,289.0,Ames,City of Ames,24,"Ames, IA M.S.A.",1217.0,Ames,50.0,1,57817,1556,,10.0,IA,177,2010
"Anchorage, AK",1701,1223.0,Anchorage,City of Anchorage,264,"Anchorage, AK M.S.A.",8178.0,Anchorage,813.0,13,290334,10214,,454.0,AK,2432,2010
"Anderson, IN",79,753.0,Anderson,City of Anderson,32,"Anderson, IN M.S.A.",2095.0,Anderson,224.0,3,57156,3072,,85.0,IN,199,2010
"Anderson, SC",143,466.0,Anderson,City of Anderson,15,"Anderson, SC M.S.A.",1342.0,Anderson,116.0,6,27325,1924,,36.0,SC,200,2010
"Ann Arbor, MI",165,524.0,Ann Arbor,City of Ann Arbor,43,"Ann Arbor, MI M.S.A.",2284.0,Ann Arbor,129.0,0,111745,2937,,76.0,MI,284,2010
"Anniston, AL",,831.0,Anniston-Oxford,City of Anniston1,23,"Anniston-Oxford, AL M.S.A.1",1107.0,Anniston,100.0,3,23703,2038,,76.0,AL,,2010
"Oxford, AL",49,162.0,Anniston-Oxford,City of Oxford1,1,"Anniston-Oxford, AL M.S.A.1",867.0,Oxford,50.0,3,18397,1079,,,AL,,2010
"Appleton, WI",172,305.0,Appleton,City of Appleton,17,"Appleton, WI M.S.A.",1379.0,Appleton,32.0,0,70975,1716,,13.0,WI,202,2010
"Asheville, NC",234,743.0,Asheville,City of Asheville,31,"Asheville, NC M.S.A.",2638.0,Asheville,290.0,2,77067,3671,,165.0,NC,432,2010
"AthensClarke County, GA",227,1334.0,Athens-Clarke County,City of Athens-Clarke County,29,"Athens-Clarke County, GA M.S.A.",3299.0,AthensClarke County,298.0,5,112851,4931,,110.0,GA,371,2010
"Atlanta, GA",3405,8016.0,Atlanta-Sandy Springs-Marietta,City of Atlanta,89,"Atlanta-Sandy Springs-Marietta, GA M.S.A.",17741.0,Atlanta,5043.0,93,536472,30800,,2162.0,GA,5749,2010
"Sandy Springs, GA",49,718.0,Atlanta-Sandy Springs-Marietta,City of Sandy Springs,18,"Atlanta-Sandy Springs-Marietta, GA M.S.A.",1756.0,Sandy Springs,192.0,7,82898,2666,,115.0,GA,189,2010
"Marietta, GA",314,723.0,Atlanta-Sandy Springs-Marietta,City of Marietta,10,"Atlanta-Sandy Springs-Marietta, GA M.S.A.",1968.0,Marietta,166.0,2,65318,2857,,136.0,GA,462,2010
"Atlantic City, NJ",311,492.0,Atlantic City-Hammonton,City of Atlantic City,27,"Atlantic City-Hammonton, NJ M.S.A.",2344.0,Atlantic City,133.0,11,39787,2969,,434.0,NJ,783,2010
"Hammonton , NJ",13,72.0,Atlantic City-Hammonton,City of Hammonton ,2,"Atlantic City-Hammonton, NJ M.S.A.",175.0,Hammonton ,7.0,1,13603,254,,4.0,NJ,20,2010
"Austin, TX",2256,8749.0,Austin-Round Rock-San Marcos,City of Austin,265,"Austin-Round Rock-San Marcos, TX M.S.A.",34827.0,Austin,2250.0,38,796310,45826,,1231.0,TX,3790,2010
"Round Rock, TX",55,464.0,Austin-Round Rock-San Marcos,City of Round Rock,26,"Austin-Round Rock-San Marcos, TX M.S.A.",2452.0,Round Rock,100.0,0,111099,3016,,35.0,TX,116,2010
"San Marcos, TX",104,263.0,Austin-Round Rock-San Marcos,City of San Marcos,13,"Austin-Round Rock-San Marcos, TX M.S.A.",1390.0,San Marcos,73.0,1,55100,1726,,34.0,TX,152,2010
"Bakersfield, CA",1396,4235.0,Bakersfield-Delano,City of Bakersfield,34,"Bakersfield-Delano, CA M.S.A.",8507.0,Bakersfield,2455.0,33,333458,15197,,641.0,CA,2104,2010
"Delano, CA",186,773.0,Bakersfield-Delano,City of Delano,6,"Bakersfield-Delano, CA M.S.A.",446.0,Delano,432.0,0,54298,1651,,55.0,CA,247,2010
"Baltimore, MD",5492,7573.0,Baltimore-Towson,City of Baltimore,265,"Baltimore-Towson, MD M.S.A.",16298.0,Baltimore,4409.0,223,639929,28280,,3336.0,MD,9316,2010
"Bangor, ME",15,198.0,Bangor,City of Bangor,4,"Bangor, ME M.S.A.",1485.0,Bangor,47.0,3,31587,1730,,30.0,ME,52,2010
"Barnstable , MA",280,428.0,Barnstable Town,City of Barnstable ,29,"Barnstable Town, MA M.S.A.",833.0,Barnstable ,64.0,0,45599,1325,,46.0,MA,355,2010
"Battle Creek, MI",514,1075.0,Battle Creek,City of Battle Creek,63,"Battle Creek, MI M.S.A.",1910.0,Battle Creek,149.0,5,60386,3134,,120.0,MI,702,2010
"Bay City, MI",151,340.0,Bay City,City of Bay City,53,"Bay City, MI M.S.A.",681.0,Bay City,35.0,1,33200,1056,,45.0,MI,250,2010
"Beaumont, TX",513,1611.0,Beaumont-Port Arthur,City of Beaumont,65,"Beaumont-Port Arthur, TX M.S.A.",4041.0,Beaumont,289.0,10,109430,5941,,312.0,TX,900,2010
"Port Arthur, TX",218,1020.0,Beaumont-Port Arthur,City of Port Arthur,26,"Beaumont-Port Arthur, TX M.S.A.",1567.0,Port Arthur,165.0,6,56424,2752,,169.0,TX,419,2010
"Bellingham, WA",170,589.0,Bellingham,City of Bellingham,37,"Bellingham, WA M.S.A.",2931.0,Bellingham,133.0,2,81139,3653,,73.0,WA,282,2010
"Bend, OR",197,387.0,Bend,City of Bend2,14,"Bend, OR M.S.A.2",1951.0,Bend,72.0,5,79556,2410,,31.0,OR,247,2010
"Billings, MT",211,848.0,Billings,City of Billings,25,"Billings, MT M.S.A.",3811.0,Billings,362.0,2,108039,5021,,42.0,MT,280,2010
"Binghamton, NY",174,423.0,Binghamton,City of Binghamton,18,"Binghamton, NY M.S.A.",1644.0,Binghamton,18.0,4,43628,2085,,70.0,NY,266,2010
"Bismarck, ND",158,182.0,Bismarck,City of Bismarck,21,"Bismarck, ND M.S.A.",1250.0,Bismarck,76.0,1,64142,1508,,17.0,ND,197,2010
"Blacksburg, VA",15,117.0,Blacksburg-Christiansburg-Radford,City of Blacksburg,14,"Blacksburg-Christiansburg-Radford, VA M.S.A.",547.0,Blacksburg,23.0,0,43355,687,,9.0,VA,38,2010
"Christiansburg, VA",19,76.0,Blacksburg-Christiansburg-Radford,City of Christiansburg,9,"Blacksburg-Christiansburg-Radford, VA M.S.A.",581.0,Christiansburg,20.0,1,19997,677,,9.0,VA,38,2010
"Radford, VA",51,103.0,Blacksburg-Christiansburg-Radford,City of Radford,6,"Blacksburg-Christiansburg-Radford, VA M.S.A.",340.0,Radford,15.0,1,16277,458,,6.0,VA,64,2010
"Bloomington, IN",202,815.0,Bloomington,City of Bloomington,31,"Bloomington, IN M.S.A.",2203.0,Bloomington,125.0,1,72286,3143,,72.0,IN,306,2010
"Bloomington, IL",266,493.0,Bloomington-Normal,City of Bloomington2,43,"Bloomington-Normal, IL M.S.A.2",1414.0,Bloomington,53.0,1,74304,1960,,75.0,IL,385,2010
"Normal, IL",97,350.0,Bloomington-Normal,City of Normal2,11,"Bloomington-Normal, IL M.S.A.2",1109.0,Normal,38.0,0,53014,1497,,38.0,IL,146,2010
"Boise , ID",389,888.0,Boise City-Nampa,City of Boise ,89,"Boise City-Nampa, ID M.S.A.",4660.0,Boise ,159.0,3,205902,5707,,58.0,ID,539,2010
"Nampa, ID",205,450.0,Boise City-Nampa,City of Nampa,51,"Boise City-Nampa, ID M.S.A.",1721.0,Nampa,128.0,2,84179,2299,,17.0,ID,275,2010
"Boston, MA",3564,3587.0,Boston-Cambridge-Quincy,"City of Boston, MA",256,"Boston-Cambridge-Quincy, MA-NH M.S.A.",15004.0,Boston MA,2037.0,73,644064,20628,,1926.0,MA,5819,2010
"Cambridge, MA",283,483.0,Boston-Cambridge-Quincy,"City of Cambridge, MA",22,"Boston-Cambridge-Quincy, MA-NH M.S.A.",2569.0,Cambridge MA,180.0,0,108356,3232,,171.0,MA,476,2010
"Quincy, MA",269,505.0,Boston-Cambridge-Quincy,"City of Quincy, MA",22,"Boston-Cambridge-Quincy, MA-NH M.S.A.",1152.0,Quincy MA,125.0,11,90304,1782,,112.0,MA,414,2010
"Newton, MA",65,170.0,Boston-Cambridge-Quincy,"City of Newton, MA",6,"Boston-Cambridge-Quincy, MA-NH M.S.A.",1016.0,Newton MA,26.0,0,83781,1212,,15.0,MA,86,2010
"Framingham, MA",159,313.0,Boston-Cambridge-Quincy,"City of Framingham, MA",5,"Boston-Cambridge-Quincy, MA-NH M.S.A.",1025.0,Framingham MA,71.0,0,66493,1409,,25.0,MA,189,2010
"Waltham, MA",112,200.0,Boston-Cambridge-Quincy,"City of Waltham, MA",13,"Boston-Cambridge-Quincy, MA-NH M.S.A.",759.0,Waltham MA,73.0,2,60106,1032,,24.0,MA,151,2010
"Peabody, MA",81,136.0,Boston-Cambridge-Quincy,"City of Peabody, MA",15,"Boston-Cambridge-Quincy, MA-NH M.S.A.",1025.0,Peabody MA,55.0,0,51517,1216,,15.0,MA,111,2010
"Boulder, CO",144,478.0,Boulder,City of Boulder,33,"Boulder, CO M.S.A.",2155.0,Boulder,89.0,4,99255,2722,,29.0,CO,210,2010
"Bowling Green, KY",58,512.0,Bowling Green,City of Bowling Green,39,"Bowling Green, KY M.S.A.",2022.0,Bowling Green,128.0,0,57308,2662,,55.0,KY,152,2010
"Bremerton, WA",161,414.0,Bremerton-Silverdale,City of Bremerton,52,"Bremerton-Silverdale, WA M.S.A.",1263.0,Bremerton,109.0,0,34897,1786,,50.0,WA,263,2010
"Bridgeport, CT",772,1448.0,Bridgeport-Stamford-Norwalk,City of Bridgeport,57,"Bridgeport-Stamford-Norwalk, CT M.S.A.",2377.0,Bridgeport,858.0,22,138810,4683,,561.0,CT,1412,2010
"Stamford, CT",178,348.0,Bridgeport-Stamford-Norwalk,City of Stamford,19,"Bridgeport-Stamford-Norwalk, CT M.S.A.",1429.0,Stamford,192.0,2,122933,1969,,152.0,CT,351,2010
"Norwalk, CT",196,323.0,Bridgeport-Stamford-Norwalk,City of Norwalk,12,"Bridgeport-Stamford-Norwalk, CT M.S.A.",1379.0,Norwalk,176.0,6,84944,1878,,129.0,CT,343,2010
"Danbury, CT",47,258.0,Bridgeport-Stamford-Norwalk,City of Danbury,21,"Bridgeport-Stamford-Norwalk, CT M.S.A.",1177.0,Danbury,80.0,2,81242,1515,,46.0,CT,116,2010
"Stratford, CT",89,188.0,Bridgeport-Stamford-Norwalk,City of Stratford,15,"Bridgeport-Stamford-Norwalk, CT M.S.A.",1004.0,Stratford,120.0,1,49469,1312,,43.0,CT,148,2010
"Brownsville, TX",360,1286.0,Brownsville-Harlingen,City of Brownsville,31,"Brownsville-Harlingen, TX M.S.A.",7784.0,Brownsville,246.0,7,180040,9316,,165.0,TX,563,2010
"Harlingen, TX",275,850.0,Brownsville-Harlingen,City of Harlingen,34,"Brownsville-Harlingen, TX M.S.A.",3375.0,Harlingen,180.0,3,65765,4405,,87.0,TX,399,2010
"Brunswick, GA",152,406.0,Brunswick,City of Brunswick,8,"Brunswick, GA M.S.A.",960.0,Brunswick,52.0,2,15871,1418,,76.0,GA,238,2010
"Buffalo, NY",1921,4296.0,Buffalo-Niagara Falls,City of Buffalo,157,"Buffalo-Niagara Falls, NY M.S.A.",9027.0,Buffalo,1430.0,55,265128,14753,,1466.0,NY,3599,2010
"Cheektowaga Town, NY",85,431.0,Buffalo-Niagara Falls,City of Cheektowaga Town,17,"Buffalo-Niagara Falls, NY M.S.A.",2221.0,Cheektowaga Town,96.0,1,76671,2748,,52.0,NY,155,2010
"Tonawanda, NY",18,32.0,Buffalo-Niagara Falls,City of Tonawanda,1,"Buffalo-Niagara Falls, NY M.S.A.",271.0,Tonawanda,9.0,0,14475,312,,2.0,NY,21,2010
"Niagara Falls, NY",397,956.0,Buffalo-Niagara Falls,City of Niagara Falls,23,"Buffalo-Niagara Falls, NY M.S.A.",1834.0,Niagara Falls,134.0,5,50321,2924,,185.0,NY,610,2010
"Burlington, NC",312,794.0,Burlington,City of Burlington,11,"Burlington, NC M.S.A.",2599.0,Burlington,126.0,3,52210,3519,,69.0,NC,395,2010
"Canton, OH",272,1523.0,Canton-Massillon,City of Canton,54,"Canton-Massillon, OH M.S.A.",2337.0,Canton,269.0,2,77938,4129,,324.0,OH,652,2010
"Massillon, OH",11,210.0,Canton-Massillon,City of Massillon,4,"Canton-Massillon, OH M.S.A.",601.0,Massillon,22.0,3,32768,833,,21.0,OH,39,2010
"Cape Coral, FL",186,1083.0,Cape Coral-Fort Myers,City of Cape Coral,23,"Cape Coral-Fort Myers, FL M.S.A.",2595.0,Cape Coral,109.0,3,160432,3787,,64.0,FL,276,2010
"Fort Myers, FL",510,628.0,Cape Coral-Fort Myers,City of Fort Myers,29,"Cape Coral-Fort Myers, FL M.S.A.",1877.0,Fort Myers,194.0,7,66053,2699,,152.0,FL,698,2010
"Cape Girardeau, MO",170,414.0,Cape Girardeau-Jackson,"City of Cape Girardeau, MO",13,"Cape Girardeau-Jackson, MO-IL M.S.A.2",1985.0,Cape Girardeau MO,64.0,1,37627,2463,,54.0,MO,238,2010
"Jackson, MO",14,50.0,Cape Girardeau-Jackson,"City of Jackson, MO",2,"Cape Girardeau-Jackson, MO-IL M.S.A.2",298.0,Jackson MO,10.0,0,14043,358,,1.0,MO,17,2010
"Casper, WY",80,382.0,Casper,City of Casper,6,"Casper, WY M.S.A.",1934.0,Casper,89.0,2,56813,2405,,20.0,WY,108,2010
"Cedar Rapids, IA",222,1026.0,Cedar Rapids,City of Cedar Rapids,33,"Cedar Rapids, IA M.S.A.",3701.0,Cedar Rapids,239.0,1,129605,4966,,123.0,IA,379,2010
"Charleston, SC",250,601.0,Charleston-North Charleston-Summerville,City of Charleston,18,"Charleston-North Charleston-Summerville, SC M.S.A.",3150.0,Charleston,229.0,10,117551,3980,,151.0,SC,429,2010
"North Charleston, SC",495,966.0,Charleston-North Charleston-Summerville,City of North Charleston,51,"Charleston-North Charleston-Summerville, SC M.S.A.",4469.0,North Charleston,525.0,12,99447,5960,,293.0,SC,851,2010
"Summerville, SC",103,240.0,Charleston-North Charleston-Summerville,City of Summerville,8,"Charleston-North Charleston-Summerville, SC M.S.A.",1291.0,Summerville,80.0,1,47479,1611,,45.0,SC,157,2010
"Charlottesville, VA",112,163.0,Charlottesville,City of Charlottesville,29,"Charlottesville, VA M.S.A.",1443.0,Charlottesville,87.0,3,42590,1693,,51.0,VA,195,2010
"Chattanooga, TN",949,2691.0,Chattanooga,"City of Chattanooga, TN",78,"Chattanooga, TN-GA M.S.A.",7350.0,Chattanooga TN,825.0,18,172460,10866,,512.0,TN,1557,2010
"Cheyenne, WY",83,236.0,Cheyenne,City of Cheyenne,27,"Cheyenne, WY M.S.A.",1948.0,Cheyenne,85.0,0,59361,2269,,21.0,WY,131,2010
"Chico, CA",109,710.0,Chico,City of Chico,47,"Chico, CA M.S.A.",1416.0,Chico,221.0,1,85630,2347,,88.0,CA,245,2010
"Cincinnati, OH",1191,6490.0,Cincinnati-Middletown,"City of Cincinnati, OH",233,"Cincinnati-Middletown, OH-KY-IN M.S.A.",12408.0,Cincinnati OH,1615.0,68,332365,20513,,2116.0,OH,3608,2010
"Middletown, OH",221,1142.0,Cincinnati-Middletown,"City of Middletown, OH",23,"Cincinnati-Middletown, OH-KY-IN M.S.A.",2712.0,Middletown OH,145.0,2,51464,3999,,98.0,OH,344,2010
"Clarksville, TN",617,1373.0,Clarksville,"City of Clarksville, TN",55,"Clarksville, TN-KY M.S.A.",2525.0,Clarksville TN,204.0,9,126548,4102,,121.0,TN,802,2010
"Cleveland, TN",303,439.0,Cleveland,City of Cleveland,19,"Cleveland, TN M.S.A.",1470.0,Cleveland,74.0,0,40452,1983,,29.0,TN,351,2010
"Cleveland, OH",1922,9854.0,Cleveland-Elyria-Mentor,City of Cleveland,341,"Cleveland-Elyria-Mentor, OH M.S.A.",10079.0,Cleveland,3503.0,81,426042,23436,,3181.0,OH,5525,2010
"Elyria, OH",92,590.0,Cleveland-Elyria-Mentor,City of Elyria,28,"Cleveland-Elyria-Mentor, OH M.S.A.",1446.0,Elyria,103.0,1,54701,2139,,100.0,OH,221,2010
"Mentor, OH",14,125.0,Cleveland-Elyria-Mentor,City of Mentor,5,"Cleveland-Elyria-Mentor, OH M.S.A.",1010.0,Mentor,65.0,0,51924,1200,,21.0,OH,40,2010
"Coeur dAlene, ID",216,284.0,Coeur d'Alene,City of Coeur d'Alene,21,"Coeur d'Alene, ID M.S.A.",1244.0,Coeur dAlene,51.0,0,44626,1579,,17.0,ID,254,2010
"College Station, TX",136,475.0,College Station-Bryan,City of College Station,37,"College Station-Bryan, TX M.S.A.",2091.0,College Station,89.0,3,88416,2655,,44.0,TX,220,2010
"Bryan, TX",282,890.0,College Station-Bryan,City of Bryan,34,"College Station-Bryan, TX M.S.A.",2632.0,Bryan,125.0,4,75350,3647,,90.0,TX,410,2010
"Colorado Springs, CO",1092,3452.0,Colorado Springs,City of Colorado Springs,319,"Colorado Springs, CO M.S.A.",12054.0,Colorado Springs,1288.0,20,397886,16794,,526.0,CO,1957,2010
"Columbia, MO",359,552.0,Columbia,City of Columbia,37,"Columbia, MO M.S.A.",3129.0,Columbia,135.0,3,103417,3816,,131.0,MO,530,2010
"Columbia, SC",871,1699.0,Columbia,City of Columbia,74,"Columbia, SC M.S.A.",5528.0,Columbia,671.0,16,130498,7898,,345.0,SC,1306,2010
"Columbus, GA",475,3454.0,Columbus,"City of Columbus, GA",38,"Columbus, GA-AL M.S.A.",8981.0,Columbus GA,1007.0,15,184576,13442,,477.0,GA,1005,2010
"Columbus, IN",40,282.0,Columbus,City of Columbus,17,"Columbus, IN M.S.A.",1834.0,Columbus,153.0,0,40554,2269,,21.0,IN,78,2010
"Columbus , OH",1432,15234.0,Columbus,City of Columbus ,566,"Columbus, OH M.S.A.2",30784.0,Columbus ,4150.0,94,772974,50168,,3359.0,OH,5451,2010
"Corpus Christi, TX",1471,2623.0,Corpus Christi,City of Corpus Christi,191,"Corpus Christi, TX M.S.A.",12015.0,Corpus Christi,448.0,16,287315,15086,,389.0,TX,2067,2010
"Corvallis, OR",36,209.0,Corvallis,City of Corvallis2,9,"Corvallis, OR M.S.A.2",1132.0,Corvallis,36.0,0,51276,1377,,12.0,OR,57,2010
"Crestview, FL",62,155.0,Crestview-Fort Walton Beach-Destin,City of Crestview,8,"Crestview-Fort Walton Beach-Destin, FL M.S.A.",460.0,Crestview,29.0,1,20424,644,,16.0,FL,87,2010
"Fort Walton Beach, FL",69,186.0,Crestview-Fort Walton Beach-Destin,City of Fort Walton Beach,11,"Crestview-Fort Walton Beach-Destin, FL M.S.A.",681.0,Fort Walton Beach,62.0,1,18432,929,,17.0,FL,98,2010
"Cumberland, MD",138,370.0,Cumberland,"City of Cumberland, MD",17,"Cumberland, MD-WV M.S.A.",1049.0,Cumberland MD,23.0,1,20449,1442,,40.0,MD,196,2010
"Dallas, TX",4021,19594.0,Dallas-Fort Worth-Arlington,City of Dallas,505,"Dallas-Fort Worth-Arlington, TX M.S.A.",36147.0,Dallas,8384.0,148,1306775,64125,,4487.0,TX,9161,2010
"Fort Worth, TX",2582,9352.0,Dallas-Fort Worth-Arlington,City of Fort Worth,318,"Dallas-Fort Worth-Arlington, TX M.S.A.",23274.0,Fort Worth,2464.0,63,746433,35090,,1330.0,TX,4293,2010
"Arlington, TX",1258,4763.0,Dallas-Fort Worth-Arlington,City of Arlington,119,"Dallas-Fort Worth-Arlington, TX M.S.A.",13342.0,Arlington,1245.0,16,383715,19350,,532.0,TX,1925,2010
"Plano, TX",294,1237.0,Dallas-Fort Worth-Arlington,City of Plano,53,"Dallas-Fort Worth-Arlington, TX M.S.A.",5093.0,Plano,386.0,4,278244,6716,,152.0,TX,503,2010
"Irving, TX",317,1632.0,Dallas-Fort Worth-Arlington,City of Irving,36,"Dallas-Fort Worth-Arlington, TX M.S.A.",5488.0,Irving,624.0,6,206308,7744,,170.0,TX,529,2010
"Carrollton, TX",113,897.0,Dallas-Fort Worth-Arlington,City of Carrollton,4,"Dallas-Fort Worth-Arlington, TX M.S.A.",2256.0,Carrollton,357.0,4,130862,3510,,63.0,TX,184,2010
"Denton, TX",191,564.0,Dallas-Fort Worth-Arlington,City of Denton,67,"Dallas-Fort Worth-Arlington, TX M.S.A.",2535.0,Denton,157.0,3,127251,3256,,65.0,TX,326,2010
"McKinney, TX",150,643.0,Dallas-Fort Worth-Arlington,City of McKinney,31,"Dallas-Fort Worth-Arlington, TX M.S.A.",2322.0,McKinney,138.0,1,138306,3103,,40.0,TX,222,2010
"Richardson, TX",90,608.0,Dallas-Fort Worth-Arlington,City of Richardson,13,"Dallas-Fort Worth-Arlington, TX M.S.A.",2192.0,Richardson,199.0,0,104051,2999,,90.0,TX,193,2010
"Dalton, GA",45,285.0,Dalton,City of Dalton,4,"Dalton, GA M.S.A.",838.0,Dalton,59.0,0,33064,1182,,27.0,GA,76,2010
"Danville, IL",226,826.0,Danville,City of Danville2,35,"Danville, IL M.S.A.2",1295.0,Danville,57.0,1,31942,2178,,86.0,IL,348,2010
"Danville, VA",80,540.0,Danville,City of Danville,20,"Danville, VA M.S.A.",1577.0,Danville,65.0,8,44192,2182,,60.0,VA,168,2010
"Davenport, IA",595,1148.0,Davenport-Moline-Rock Island,"City of Davenport, IA",59,"Davenport-Moline-Rock Island, IA-IL M.S.A.2",3521.0,Davenport IA,225.0,2,102628,4894,,209.0,IA,865,2010
"Moline, IA",167,302.0,Davenport-Moline-Rock Island,"City of Moline, IL2",26,"Davenport-Moline-Rock Island, IA-IL M.S.A.2",1140.0,Moline IL,45.0,1,42510,1487,,22.0,IA,216,2010
"Rock Island, IA",232,356.0,Davenport-Moline-Rock Island,"City of Rock Island, IL2",21,"Davenport-Moline-Rock Island, IA-IL M.S.A.2",872.0,Rock Island IL,78.0,3,37534,1306,,51.0,IA,307,2010
"Dayton, OH",601,3380.0,Dayton,City of Dayton,92,"Dayton, OH M.S.A.",4840.0,Dayton,671.0,34,152319,8891,,782.0,OH,1509,2010
"Decatur, AL",117,682.0,Decatur,City of Decatur,17,"Decatur, AL M.S.A.",1920.0,Decatur,149.0,4,57153,2751,,74.0,AL,212,2010
"Decatur, IL",308,1514.0,Decatur,City of Decatur2,20,"Decatur, IL M.S.A.2",1481.0,Decatur,126.0,4,74857,3121,,136.0,IL,468,2010
"Daytona Beach, FL",548,1083.0,Deltona-Daytona Beach-Ormond Beach,City of Daytona Beach,31,"Deltona-Daytona Beach-Ormond Beach, FL M.S.A.",3089.0,Daytona Beach,463.0,3,63736,4635,,229.0,FL,811,2010
"Ormond Beach, FL",224,277.0,Deltona-Daytona Beach-Ormond Beach,City of Ormond Beach,13,"Deltona-Daytona Beach-Ormond Beach, FL M.S.A.",1050.0,Ormond Beach,58.0,0,37923,1385,,14.0,FL,251,2010
"Denver, CO",1976,4501.0,Denver-Aurora-Broomfield,City of Denver,367,"Denver-Aurora-Broomfield, CO M.S.A.2",12944.0,Denver,3226.0,22,607051,20671,,926.0,CO,3291,2010
"Aurora, CO",732,2290.0,Denver-Aurora-Broomfield,City of Aurora,183,"Denver-Aurora-Broomfield, CO M.S.A.2",6873.0,Aurora,888.0,23,323483,10051,,505.0,CO,1443,2010
"Broomfield, CO",16,118.0,Denver-Aurora-Broomfield,City of Broomfield,10,"Denver-Aurora-Broomfield, CO M.S.A.2",995.0,Broomfield,48.0,3,57126,1161,,12.0,CO,41,2010
"Des Moines, IA",737,2248.0,Des Moines-West Des Moines,City of Des Moines,105,"Des Moines-West Des Moines, IA M.S.A.",6808.0,Des Moines,739.0,6,202564,9795,,224.0,IA,1072,2010
"West Des Moines, IA",76,173.0,Des Moines-West Des Moines,City of West Des Moines,22,"Des Moines-West Des Moines, IA M.S.A.",1516.0,West Des Moines,47.0,0,58600,1736,,11.0,IA,109,2010
"Detroit, MI",10723,17090.0,Detroit-Warren-Livonia,City of Detroit,405,"Detroit-Warren-Livonia, MI M.S.A.",18095.0,Detroit,12602.0,310,899447,47787,,5538.0,MI,16976,2010
"Warren, MI",525,953.0,Detroit-Warren-Livonia,City of Warren,69,"Detroit-Warren-Livonia, MI M.S.A.",2035.0,Warren,715.0,5,132266,3703,,171.0,MI,770,2010
"Livonia, MI",100,315.0,Detroit-Warren-Livonia,City of Livonia,14,"Detroit-Warren-Livonia, MI M.S.A.",1503.0,Livonia,221.0,2,87434,2039,,36.0,MI,152,2010
"Dearborn, MI",212,488.0,Detroit-Warren-Livonia,City of Dearborn,30,"Detroit-Warren-Livonia, MI M.S.A.",2759.0,Dearborn,471.0,3,82612,3718,,128.0,MI,373,2010
"Troy, MI",40,292.0,Detroit-Warren-Livonia,City of Troy,9,"Detroit-Warren-Livonia, MI M.S.A.",1327.0,Troy,109.0,1,79794,1728,,9.0,MI,59,2010
"Farmington Hills, MI",88,292.0,Detroit-Warren-Livonia,City of Farmington Hills,16,"Detroit-Warren-Livonia, MI M.S.A.",959.0,Farmington Hills,130.0,1,77646,1381,,13.0,MI,118,2010
"Southfield, MI",253,660.0,Detroit-Warren-Livonia,City of Southfield,27,"Detroit-Warren-Livonia, MI M.S.A.",1690.0,Southfield,410.0,5,74587,2760,,111.0,MI,396,2010
"Pontiac, MI",798,1074.0,Detroit-Warren-Livonia,City of Pontiac,67,"Detroit-Warren-Livonia, MI M.S.A.",765.0,Pontiac,216.0,9,65517,2055,,239.0,MI,1113,2010
