newidx,aggravated_assault,burglary,city,counties_principal_cities,forcible_rape,index,larceny_theft,main_city,motor_vehicle_theft,murder_and_nonnegligent_manslaughter,population,property_crime,rape1,robbery,state,violent_crime,year
"St Petersburg, FL",1701,3412.0,Tampa-St. Petersburg-Clearwater,City of St. Petersburg,90,"Tampa-St. Petersburg-Clearwater, FL M.S.A.",8544.0,St Petersburg,847.0,21,248105,12803,,720.0,FL,2532,2011
"Clearwater, FL",569,719.0,Tampa-St. Petersburg-Clearwater,City of Clearwater,40,"Tampa-St. Petersburg-Clearwater, FL M.S.A.",3252.0,Clearwater,158.0,10,109153,4129,,182.0,FL,801,2011
"Largo, FL",239,617.0,Tampa-St. Petersburg-Clearwater,City of Largo,32,"Tampa-St. Petersburg-Clearwater, FL M.S.A.",2327.0,Largo,104.0,1,78706,3048,,101.0,FL,373,2011
"Terre Haute, IN",40,934.0,Terre Haute,City of Terre Haute,17,"Terre Haute, IN M.S.A.",2725.0,Terre Haute,283.0,4,61095,3942,,91.0,IN,152,2011
"Texarkana T, TX",363,746.0,Texarkana,"City of Texarkana, TX ",25,"Texarkana, TX-Texarkana, AR M.S.A.",1590.0,Texarkana TX ,141.0,3,37177,2477,,77.0,TX,468,2011
"Texarkana A, TX",199,525.0,Texarkana,"City of Texarkana, AR ",10,"Texarkana, TX-Texarkana, AR M.S.A.",1623.0,Texarkana AR ,122.0,1,30145,2270,,35.0,TX,245,2011
"Toledo, OH",1562,8366.0,Toledo,City of Toledo3,124,"Toledo, OH M.S.A.3",,Toledo,1465.0,30,287418,,,1152.0,OH,2868,2011
"Topeka, KS",395,1727.0,Topeka,City of Topeka,53,"Topeka, KS M.S.A.",5213.0,Topeka,589.0,15,128283,7529,,235.0,KS,698,2011
"Trenton, NJ",641,1138.0,Trenton-Ewing,City of Trenton,25,"Trenton-Ewing, NJ M.S.A.",993.0,Trenton,439.0,23,85196,2570,,519.0,NJ,1208,2011
"Ewing Township, NJ",32,257.0,Trenton-Ewing,City of Ewing Township,7,"Trenton-Ewing, NJ M.S.A.",511.0,Ewing Township,46.0,2,35909,814,,44.0,NJ,85,2011
"Tucson, AZ",2022,4979.0,Tucson,City of Tucson3,204,"Tucson, AZ M.S.A.3",,Tucson,2746.0,51,527479,,,1163.0,AZ,3440,2011
"Tulsa, OK",2555,7353.0,Tulsa,City of Tulsa,266,"Tulsa, OK M.S.A.",12136.0,Tulsa,2434.0,49,396101,21923,,1090.0,OK,3960,2011
"Tuscaloosa, AL",196,1249.0,Tuscaloosa,City of Tuscaloosa1,39,"Tuscaloosa, AL M.S.A.1",2963.0,Tuscaloosa,190.0,3,90903,4402,,194.0,AL,432,2011
"Tyler, TX",375,834.0,Tyler,City of Tyler,46,"Tyler, TX M.S.A.",3423.0,Tyler,184.0,3,98939,4441,,79.0,TX,503,2011
"Utica , NY",259,615.0,Utica-Rome,City of Utica ,17,"Utica-Rome, NY M.S.A.",1809.0,Utica ,77.0,4,62515,2501,,102.0,NY,382,2011
"Rome, NY",15,109.0,Utica-Rome,City of Rome,1,"Utica-Rome, NY M.S.A.",311.0,Rome,21.0,1,33877,441,,9.0,NY,26,2011
"Valdosta, GA",134,815.0,Valdosta,City of Valdosta,27,"Valdosta, GA M.S.A.",1598.0,Valdosta,87.0,5,55236,2500,,102.0,GA,268,2011
"Vallejo , CA",397,2468.0,Vallejo-Fairfield,City of Vallejo ,53,"Vallejo-Fairfield, CA M.S.A.",1716.0,Vallejo ,1060.0,18,117305,5244,,435.0,CA,903,2011
"Fairfield , CA",251,572.0,Vallejo-Fairfield,City of Fairfield ,21,"Vallejo-Fairfield, CA M.S.A.",2055.0,Fairfield ,347.0,5,106559,2974,,148.0,CA,425,2011
"Victoria, TX",282,857.0,Victoria,City of Victoria,38,"Victoria, TX M.S.A.",2299.0,Victoria,93.0,2,63909,3249,,70.0,TX,392,2011
"Virginia Beach, VA",289,2038.0,Virginia Beach-Norfolk-Newport News,"City of Virginia Beach, VA",60,"Virginia Beach-Norfolk-Newport News, VA-NC M.S.A.",9645.0,Virginia Beach VA,450.0,15,443226,12133,,412.0,VA,776,2011
"Norfolk, VA",689,2256.0,Virginia Beach-Norfolk-Newport News,"City of Norfolk, VA",81,"Virginia Beach-Norfolk-Newport News, VA-NC M.S.A.",9217.0,Norfolk VA,785.0,29,245704,12258,,625.0,VA,1424,2011
"Newport News, VA",390,1094.0,Virginia Beach-Norfolk-Newport News,"City of Newport News, VA",52,"Virginia Beach-Norfolk-Newport News, VA-NC M.S.A.",4592.0,Newport News VA,355.0,15,182878,6041,,388.0,VA,845,2011
"Hampton, VA",167,820.0,Virginia Beach-Norfolk-Newport News,"City of Hampton, VA",19,"Virginia Beach-Norfolk-Newport News, VA-NC M.S.A.",4180.0,Hampton VA,273.0,9,139078,5273,,155.0,VA,350,2011
"Portsmouth, VA",257,1348.0,Virginia Beach-Norfolk-Newport News,"City of Portsmouth, VA",46,"Virginia Beach-Norfolk-Newport News, VA-NC M.S.A.",3623.0,Portsmouth VA,266.0,12,96676,5237,,235.0,VA,550,2011
"Visalia , CA",343,1110.0,Visalia-Porterville,City of Visalia ,40,"Visalia-Porterville, CA M.S.A.",3466.0,Visalia ,545.0,8,125905,5121,,95.0,CA,486,2011
"Porterville, CA",161,519.0,Visalia-Porterville,City of Porterville,5,"Visalia-Porterville, CA M.S.A.",1222.0,Porterville,196.0,2,54802,1937,,58.0,CA,226,2011
